espanol,quechua_texto,cluster_id,cluster_label,tema_clean,tipo_habla_clean,nivel_formalidad
Uso de mascarilla en casos gripales.,Gripe onqoyniyoq kaqtinqa uya mascarakunata utilizay.,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,dialogo_medico,informal
Evitar exposición prolongada a bajas temperaturas.,Ama unayta pisi q'uñipi churaychu,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,dialogo_medico,informal
Realizar actividad física mejora salud cardiovascular.,Aycha kallpaypi llamk'ayqa sunqumanta qhali kayta allinchan,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,dialogo_medico,informal
Recibió vacuna contra influenza sin complicaciones.,Payqa mana sasachakuyniyuq gripe vacunata chaskirqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Se aplicó primera dosis del esquema regular.,Kay ñawpaq dosis kay horario regular kaqmanta qusqa karqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Recibió refuerzo contra neumonía este mes.,Payka kay killapimi neumonía unquymanta vacuna de refuerzota chaskirqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Niño completó esquema obligatorio de vacunación.,Wawa hunt'asqa obligatorio vacunación horario,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Vacuna administrada según calendario nacional vigente,Vacuna qusqa kunan horario nacional nisqaman hina,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Adulto mayor recibió dosis de refuerzo.,Machu runaqa dosis de refuerzo nisqatam chaskirqa,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Se aplicó vacuna contra el VPH.,Kay VPH vacuna kaqta churakurqa.,4,SEGUIMIENTO_CONTROL_MEDICO,PREVENCION,nota_clinica,formal
Debe regresar a control médico en dos semanas.,Iskay semanamantam kutinayki hampichikunaykipaq,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,dialogo_medico,informal
Paciente deberá asistir a evaluación mensual.,Unqusqa sapa killa evaluacionman rinan tiyan,0,MANEJO_FIEBRE_PREVENCION,SEGUIMIENTO,nota_clinica,formal
Controlar presión arterial diariamente en casa.,Sapa punchaw wasiykipi yawarpa ñitiyninta qaway.,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,dialogo_medico,informal
Cita médica programada para revisión general.,Cita médico programasqa general revisión nisqapaq,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,nota_clinica,formal
Evaluación médica posterior al tratamiento antibiótico.,Antibiótico hampiywan hampichikuy chaninchay,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,nota_clinica,formal
Control prenatal programado cada cuatro semanas.,Sapa tawa semanamanta prenatal revisakuna programasqa,4,SEGUIMIENTO_CONTROL_MEDICO,MATERNO_INFANTIL,nota_clinica,formal
Paciente continúa controles periódicos por hipertensión,Unqusqa sapa kuti qhawaykunata ruwan hipertensión kaqpaq,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,nota_clinica,formal
Me duele la cabeza,Umaymi nanawan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,respuesta_breve,informal
Me duele el estómago,Wiksaymi nanawan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,respuesta_breve,informal
Me duele la garganta,Kunkaymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele el pecho,Qasquymi nanawan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Me duele la espalda,Wasaymi nanawan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,respuesta_breve,informal
Me duele la rodilla,Muquymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele el oído,Linliymi nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me duele el cuerpo entero,Entero cuerpuymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Hasta cuando descanso me duele,Hasta samariptiypas nanawanmi,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele mucho aquí,Llumpaytam nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me duele la garganta,Mallq'a nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele el pecho,Qhasquymi nanawan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Me duele la espalda,Wasaymi nanan,3,EVALUACION_INTENSIDAD_DOLOR,SINTOMAS,respuesta_breve,informal
Me duele la rodilla,Qonqoriyqa nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele el oído,Rinriymi nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me duele todo el cuerpo,Tukuy ukhuy nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele cuando descanso,Samaspayqa nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele mucho aquí,Kaypin sinchita nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Tengo fiebre,Ruphaywanmi kashani,0,MANEJO_FIEBRE_PREVENCION,SINTOMAS,respuesta_breve,informal
Tengo mareos,Uma muyuwashian,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
No tengo hambre,Mana yarqawachkanchu,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy muy cansado,Sinchi sayk'usqa kashani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
No puedo dormir,Mana puñuy atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
Tengo náuseas,Aqtupakuyman kashani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Estoy vomitando,Aqtushani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Me duele el brazo,Rikraymi nanawan kachkan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele la pierna,Chakinmi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele la cintura,Chumpimi nanawan kachkan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele el cuello,Kunkaymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duelen los huesos,Tulluykunaymi nanawan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me duele al orinar,Ispachiykaqtiymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele la muela,Kiruymi nanawan kachkan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me duele la vista,Ñawiymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
No puedo caminar,Manam puriytaqa atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
No puedo moverme,Manam kuyuytallaqa atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
Tengo fiebre,Ruphaywan kachkani,0,MANEJO_FIEBRE_PREVENCION,SINTOMAS,respuesta_breve,informal
Tengo frío,Chiriywan kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Tengo calor,Quniywan kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy mareado,Umayqa muyurichkan,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
No tengo hambre,Manam yarqasqachu kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy muy cansado,Sinchita saqisqa kachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
No puedo dormir,Manam puñuytaqa atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
Tengo náuseas,Millay haykuwan,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Estoy vomitando,Lantikachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Tengo diarrea,Chiri ispa kachkan,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Me siento débil,Mana kallpayuq kachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Estoy temblando,Khatatachkani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me late fuerte el corazón,Sunquymi sinchita takachkan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Estoy sudando mucho,Sinchita hunpachkani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me siento mal,Mana allin kachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
No tengo fuerzas,Manam kallpayniyuqchu kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy decaído,Urmachisqa kachkani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me duele el cuerpo entero,Tukuy kurkuymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Tengo escalofríos,Khatataywan kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Me siento enfermo,Unqusqa kachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
Tengo tos,Uhukachkani,9,OBSERVACION_CAMBIOS_SINTOMAS,SINTOMAS,respuesta_breve,informal
No puedo respirar bien,Manam allinchu samayni,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
Me falta el aire,Samayniyqa pisiyamuchkan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Tengo gripe,Chiri unquywan kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Tengo la nariz tapada,Sinqayqa wichqasqa kachkan,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy resfriado,Chiri hapiwasqa kachkani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Toso con sangre,Yawarwan uhukachkani,5,DIAGNOSTICO_PROCEDIMIENTOS,SINTOMAS,respuesta_breve,informal
Me duele al respirar,Samaqtiymi nanawan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Tengo flema,Tuqlluyuq kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estornudo mucho,Sinchita achhiykachkani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me ahogo,Samaypa chinkachkan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Tengo el pecho apretado,Qhasquyqa harkasqa kachkan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Silba mi pecho,Qhasquyqa waqtanchakan,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Respiro con dificultad,Manam allintaqa samaynichu,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,SINTOMAS,respuesta_breve,informal
Tengo asma,Hukchiy unquywan kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy embarazada,Wawayuq kachkani,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,respuesta_breve,informal
Mi bebé está enfermo,Waway unqusqa kachkan,4,SEGUIMIENTO_CONTROL_MEDICO,SINTOMAS,respuesta_breve,informal
Mi hijo tiene fiebre,Churiyqa ruphaywan kachkan,0,MANEJO_FIEBRE_PREVENCION,SINTOMAS,respuesta_breve,informal
No tengo leche,Manam ñuñuyuqchu kachkani,6,SINTOMAS_SISTEMICOS_PIEL,SEGUIMIENTO,respuesta_breve,informal
Estoy de cinco meses,Pichqa killanayuqmi kachkani,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,respuesta_breve,informal
Mi bebé no quiere comer,Wawaymi manam mikhuytaqa munakuchunchu,0,MANEJO_FIEBRE_PREVENCION,SINTOMAS,respuesta_breve,informal
Mi hijo llora mucho,Churiyqa sinchita waqan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Necesito control prenatal,Wawapaq qhawayta munakuni,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,respuesta_breve,informal
Ya voy a dar a luz,Wawatañam paririsaq,5,DIAGNOSTICO_PROCEDIMIENTOS,SEGUIMIENTO,respuesta_breve,informal
Mi bebé tiene diarrea,Wawaymi chiri ispa kachkan,11,SINTOMAS_DIGESTIVOS_MALESTAR,SINTOMAS,respuesta_breve,informal
No puedo amamantar,Manam ñuñuytaqa atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SEGUIMIENTO,respuesta_breve,informal
Mi leche se secó,Ñuñuyqa chakisqaña kachkan,7,PROBLEMAS_FUNCIONALES_SUENO,SEGUIMIENTO,respuesta_breve,informal
Mi bebé no duerme,Wawaymi manam puñukuchunchu,4,SEGUIMIENTO_CONTROL_MEDICO,SINTOMAS,respuesta_breve,informal
Mi hijo no come,Churiyqa manam mikhuchunchu,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Mi bebé tiene tos,Wawaymi uhukachkan,9,OBSERVACION_CAMBIOS_SINTOMAS,SINTOMAS,respuesta_breve,informal
Necesito vacunar a mi hijo,Churiyta inyaksichiy munakuni,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,respuesta_breve,informal
Mi hijo está desnutrido,Churiyqa qarullaqa kachkan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Mi bebé vomita,Wawaymi lantikachkan,4,SEGUIMIENTO_CONTROL_MEDICO,SINTOMAS,respuesta_breve,informal
Tengo dolores de parto,Waway paririkuyninta nanawan,3,EVALUACION_INTENSIDAD_DOLOR,SEGUIMIENTO,respuesta_breve,informal
Mi agua se rompió,Yakuyqa pakirikupun,10,INSTRUCCIONES_MEDICACION_DOSIS,SEGUIMIENTO,respuesta_breve,informal
Necesito medicina,Hampita munakuni,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Ya tomé la pastilla,Pastillataña ukhurkuni,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
No me hace efecto,Manam yanapawanchu,11,SINTOMAS_DIGESTIVOS_MALESTAR,TRATAMIENTO,respuesta_breve,informal
Vine para mi control,Qhawanaypaq hamurqani,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,respuesta_breve,informal
Quiero vacunarme,Inyaksichikuyta munakuni,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,respuesta_breve,informal
Me duele donde me inyectaron,Inyaksiwan wasiymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,PREVENCION,respuesta_breve,informal
Se me acabó la medicina,Hampiymi tukukapun,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
No tengo dinero para medicina,Manam qulqiyuqchu kachkani hampipaq,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Cuándo debo volver,Haykaqtaq kutimuyman,0,MANEJO_FIEBRE_PREVENCION,SEGUIMIENTO,respuesta_breve,informal
Me siento mejor,Allintañam kachkani,11,SINTOMAS_DIGESTIVOS_MALESTAR,SEGUIMIENTO,respuesta_breve,informal
La medicina me cayó mal,Hampiymi mana allin kapuwan,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Tomé la medicina equivocada,Pantasqa hampita ukhurkuni,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Me recetó el doctor,Hampiymanta qamariwan,6,SINTOMAS_SISTEMICOS_PIEL,TRATAMIENTO,respuesta_breve,informal
No sé tomar esta medicina,Kay hampita manam yachanichu ukhuyta,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Cuántas pastillas tomo al día,Hayka pastillatataq sapa punchaw ukhurisaq,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Antes o después de comer,Mikhuypa ñawpaqninchu utaq qhipanninchu,0,MANEJO_FIEBRE_PREVENCION,TRATAMIENTO,respuesta_breve,informal
Tengo alergia a este medicamento,Kay hampiman mana allinchu kachkani,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
No mejoro con la medicina,Hampiwanqa manam allinchu kachkani,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Necesito otra medicina,Huk hampita munakuni,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Esta medicina es muy cara,Kay hampiqa sinchitam qullqiyuq,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
No encuentro esta medicina,Kay hampitaqa manam tarinichu,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Me hace doler el estómago,Wiksayta nanachiwanchkan,3,EVALUACION_INTENSIDAD_DOLOR,TRATAMIENTO,respuesta_breve,informal
Tomé té de hierbas,Qura tita ukhurkuni,10,INSTRUCCIONES_MEDICACION_DOSIS,TRATAMIENTO,respuesta_breve,informal
Necesito inyección,Inyaksiyta munakuni,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,respuesta_breve,informal
Cuánto cuesta la consulta,Haykatataq qhawanapaq pagakuna kachkan,4,SEGUIMIENTO_CONTROL_MEDICO,SEGUIMIENTO,respuesta_breve,informal
Me caí,Urmarikupuni,10,INSTRUCCIONES_MEDICACION_DOSIS,SINTOMAS,respuesta_breve,informal
Me corté,Khuchukurikupuni,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me quemé,Ruphaykachakupuni,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me mordió un perro,Allqum kaniwanchkan,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me picó un insecto,Chuspim tuqyarqawan,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Estoy sangrando,Yawarmi lluqsichkan,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Me rompí el brazo,Rikriymi pakikupun,2,DOLOR_LOCALIZADO_ESPECIFICO,SINTOMAS,respuesta_breve,informal
Me torcí el pie,Chakinmi wiqrukupun,5,DIAGNOSTICO_PROCEDIMIENTOS,SINTOMAS,respuesta_breve,informal
Me atragante,Tunqurmanmi wisq'akupun,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Me desmayé,Wañuyarqani,1,SALUD_PEDIATRICA_FAMILIAR,SINTOMAS,respuesta_breve,informal
Tuve un accidente,Allipa llakikuy kapuwan,6,SINTOMAS_SISTEMICOS_PIEL,SINTOMAS,respuesta_breve,informal
Me golpearon,Waytarqawanku,9,OBSERVACION_CAMBIOS_SINTOMAS,SINTOMAS,respuesta_breve,informal
Perdí el conocimiento,Yuyayniyta chinkarqani,9,OBSERVACION_CAMBIOS_SINTOMAS,SINTOMAS,respuesta_breve,informal
No puedo levantarme,Manam hatariytallaqa atinichu,7,PROBLEMAS_FUNCIONALES_SUENO,SINTOMAS,respuesta_breve,informal
Llamen a mi familia,Aylluyta waqyariy,0,MANEJO_FIEBRE_PREVENCION,SEGUIMIENTO,respuesta_breve,informal
Quiero hacerme un chequeo,Qhawachiykuyta munakuni,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,respuesta_breve,informal
Necesito análisis de sangre,Yawar qhawariyta munakuni,5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,respuesta_breve,informal
Dónde puedo vacunarme,Maypitaq inyaksichikuyman,7,PROBLEMAS_FUNCIONALES_SUENO,PREVENCION,respuesta_breve,informal
Quiero prevenir enfermedades,Unquyta harkakuyta munakuni,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,respuesta_breve,informal
Necesito vitaminas,Kallpachaq hampita munakuni,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,respuesta_breve,informal
Cómo me cuido,Imaynatataq waqaychakuyman,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,respuesta_breve,informal
Qué debo comer,Imataq mikhuy kachkan,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,respuesta_breve,informal
Puedo hacer ejercicio,Kallpachiykuytachu atiyman,11,SINTOMAS_DIGESTIVOS_MALESTAR,PREVENCION,respuesta_breve,informal
Necesito descansar,Samariy munakuni,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,respuesta_breve,informal
Debo tomar mucha agua,Achkha yakuta ukhuyman kachkan,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,respuesta_breve,informal
Me lavo las manos seguido,Makiytam sapa kuti maqchikuni,10,INSTRUCCIONES_MEDICACION_DOSIS,PREVENCION,respuesta_breve,informal
Uso mascarilla,Uyata qataykuyta ruraskani,9,OBSERVACION_CAMBIOS_SINTOMAS,PREVENCION,respuesta_breve,informal
Mantengo distancia,Karumanta kachkani,0,MANEJO_FIEBRE_PREVENCION,PREVENCION,respuesta_breve,informal
Ventilo mi casa,Wasitam wayrachini,5,DIAGNOSTICO_PROCEDIMIENTOS,PREVENCION,respuesta_breve,informal
Como saludable,Allin mikhuykunata mikhuni,1,SALUD_PEDIATRICA_FAMILIAR,PREVENCION,respuesta_breve,informal
Desde cuándo me duele,Hayk'aqpachataq nanawasqa,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
Todos los días me duele,Sapa punchaymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
Solo a veces,Sapa kuti kikinchu,10,INSTRUCCIONES_MEDICACION_DOSIS,DIAGNOSTICO,respuesta_breve,informal
En las mañanas nomás,Paqarinkunapim,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,respuesta_breve,informal
Toda la noche,Tukuy tutam,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
Me duele cuando como,Mikhuytiymi nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
Después de trabajar,Llamkasqamantam,0,MANEJO_FIEBRE_PREVENCION,DIAGNOSTICO,respuesta_breve,informal
Siempre me duele,Sapa kutim nanawan,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
Es nuevo este dolor,Musuqlam kay nanay,4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,respuesta_breve,informal
Ya me dolía antes,Ñawpaqpachatañam nanawasqa,2,DOLOR_LOCALIZADO_ESPECIFICO,DIAGNOSTICO,respuesta_breve,informal
"Buenos días, ¿cuál es el motivo de su consulta hoy?","Allin p’unchay, ¿imaraykutaq kunan p’unchay tapusqayki?",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,dialogo_medico,formal
Siento un dolor muy fuerte en la boca del estómago desde ayer.,Qayna punchawmantapacham wiksaypi ancha sinchi nanawan.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,dialogo_medico,formal
¿Ha tenido fiebre o escalofríos durante la última noche?,¿Qhipa tutapi fiebre utaq chiriyuqchu karqanki?,0,MANEJO_FIEBRE_PREVENCION,DIAGNOSTICO,dialogo_medico,formal
Me duele mucho la cabeza y siento que todo me da vueltas.,Umaymi anchata nanawan hinaspam tukuy imapas muyuchkaq hina tarikuni.,3,EVALUACION_INTENSIDAD_DOLOR,DIAGNOSTICO,dialogo_medico,formal
"Respire profundo mientras escucho sus pulmones, por favor.","Pulmonniykita uyarichkaptiy allinta samay, ama hina kaspa.",8,SINTOMAS_RESPIRATORIOS_CARDIACOS,DIAGNOSTICO,dialogo_medico,formal
¿Es usted alérgico a algún medicamento como la penicilina?,"¿Ima hampimanpas alergiayuqchu kanki, ahinataq penicilinaman?",4,SEGUIMIENTO_CONTROL_MEDICO,DIAGNOSTICO,dialogo_medico,formal
Tome esta pastilla cada ocho horas después de los alimentos.,Kay pastillataqa sapa pusaq hora mikhuymanta upyana.,10,INSTRUCCIONES_MEDICACION_DOSIS,DIAGNOSTICO,dialogo_medico,formal
¿Desde cuándo siente esa opresión en el lado izquierdo del pecho?,¿Hayk’a tiempon sinqaykiq lloq’e ladonpi kay k’iski kayta sientenki?,8,SINTOMAS_RESPIRATORIOS_CARDIACOS,DIAGNOSTICO,dialogo_medico,formal
Necesito que se haga un análisis de sangre y una ecografía.,"Necesitayki yawarmanta prueba ruwanaykita, ultrasonidota ruwanaykita.",5,DIAGNOSTICO_PROCEDIMIENTOS,DIAGNOSTICO,dialogo_medico,formal
¿Ha notado alguna mancha o sarpullido extraño en su piel?,¿Repararqankichu aycha qaraykipi mana costumbre kaq manchakunata otaq erupciones nisqakunata?,9,OBSERVACION_CAMBIOS_SINTOMAS,DIAGNOSTICO,dialogo_medico,formal
Mi hijo tiene mucha tos y no puede dormir por las noches.,"Wawayqa mana allin tosniyuq, tutapi mana puñuyta atinchu.",7,PROBLEMAS_FUNCIONALES_SUENO,TRATAMIENTO,dialogo_medico,formal
Vamos a medir su presión arterial para ver si está estable.,"Yawarpa ñit'iyninta tupusaqku, mana kuyuriqchu icha manachu chayta qhawanaykupaq.",5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,formal
¿Ha perdido el apetito o el sentido del gusto últimamente?,¿Qhipa watakunapi manaña mikhuyta munankichu nitaq gustotachu munarqanki?,9,OBSERVACION_CAMBIOS_SINTOMAS,TRATAMIENTO,dialogo_medico,formal
Siento una debilidad constante en las piernas al caminar.,Purispayqa sapa kutim chakiypi pisi kallpayachkan.,11,SINTOMAS_DIGESTIVOS_MALESTAR,TRATAMIENTO,dialogo_medico,formal
Le voy a recetar un jarabe para calmar esa irritación de garganta.,Chay kunka nanayta thasnunaypaqmi jarabeta kamachisaq.,5,DIAGNOSTICO_PROCEDIMIENTOS,TRATAMIENTO,dialogo_medico,formal
