espanol,quechua_texto,tipo_habla,nivel_formalidad,tema
Su hijo(a) estará bien.,Wawaykim allin kachkanqa.,dialogo medico,informal,salud materno-infantil
Su hijo(a) estará enfermo(a) por mucho tiempo.,Wawaykika unqusqa kanqa llumpayman.,dialogo medico,informal,salud materno-infantil
"Esta enfermedad pasará lentamente, pero la salud de su hijo(a) volverá completamente.","Kay unqunaq allillamanta ripunqa, qinaptinqa wawaykipa qallilinqa kutimunqam tukupayninkama.",dialogo medico,informal,salud materno-infantil
Déle al niño(a) pequeñas porciones cada pocas horas.,Wawaykita pisillapi mikuchiy aswan kutillapi.,dialogo medico,informal,salud materno-infantil
Ayude a su hijo(a) a beber esto cada pocas horas.,Wawaykita yanapay pisi upyananpaq aswan kutillapi.,dialogo medico,informal,salud materno-infantil
Déle este medicamento a su hijo(a) cada cuatro horas.,Wawaykiman ququy kay qampita sapa tawa huranmanta.,dialogo medico,informal,salud materno-infantil
Deje que su hijo(a) duerma.,Wawaykita saqiy puñukunanta.,dialogo medico,informal,salud materno-infantil
Usted necesita dormir tanto como el niño(a).,Qanmi puñuwaq chay wawayki qinakama.,dialogo medico,informal,salud materno-infantil
Traiga a su hijo(a) de regreso aquí mañana.,Qanmi kutichimunki paqarin wawaykita kayman.,dialogo medico,informal,seguimiento
Traiga a su hijo(a) de regreso si no hay mejoría hasta mañana.,Qanmi kutichimunki paqarin wawaykita sichus mana allinllaniptin.,dialogo medico,informal,seguimiento
Continuaremos haciendo seguimiento a la salud de su hijo(a) junto con usted.,Ñuqanchikmi qatisunchik qanwanpuni wawaykipa allinllanantam.,dialogo medico,informal,seguimiento
Abre los ojos.,Kichay ñawikikunata,respuesta breve,informal,sintomas
Cierra los ojos.,Wichqay ñawikikunata.,respuesta breve,informal,sintomas
¿Te duelen los ojos?,ñawikichum nanachkan?,dialogo medico,informal,sintomas
¿Usas lentes correctivos?,Qamchukanki anteojusman qawakuy?,dialogo medico,informal,sintomas
¿Usas lentes de contacto?,Qamchu kanki contact lente wan qawakuy?,dialogo medico,informal,sintomas
¿Ves claramente con ambos ojos?,Sumaqtachum qawakunki iskaynin ñawiykikunawan?,dialogo medico,informal,sintomas
¿Cuál ojo tiene un nuevo problema?,Mayqin ñawikitaq qallaykun problemwan?,dialogo medico,informal,sintomas
¿Ves mis dedos?,Qawachkankichu lliw deduykunata?,dialogo medico,informal,sintomas
¿Se ven claros?,Allintachu rikukun?,dialogo medico,informal,sintomas
¿Cuántos dedos ves ahora?,Qayka dedukunatam qawachkanki kunanqa?,dialogo medico,informal,sintomas
Voy a mirar dentro de tus ojos con esto.,Ñuqam qawasq kaywan ñawikikupa ukunta.,dialogo medico,informal,sintomas
Mantén tu cabeza quieta.,Umaykita amam muyunachu.,dialogo medico,informal,sintomas
¿Para que viniste señora?,¿Imamanmy hamushanqui sipas?,dialogo medico,informal,sintomas
yo vine porque me duele la cabeza,Noqa Hamushani umay nanawaqtin,respuesta breve,informal,sintomas
¿Imayki nanasunki taytay?,Que te duele señor,dialogo medico,informal,sintomas
A mi me duele la pierna,Noqata nanawan chakay,respuesta breve,informal,sintomas
Dede cuando estas enfermo,¿Hayk'akmanta pachaq onq'oska kashanki?,dialogo medico,informal,sintomas
Yo estoy mal hace dos dias,Noqa kashani onq'oska iskay punchayña,respuesta breve,informal,sintomas
¿que le duela a tu hijo?,¿Imanmy nanashan wawayki?,dialogo medico,informal,salud materno-infantil
A mi hijo le duele su barriga,Wawaypa nanashan wiksan,respuesta breve,informal,salud materno-infantil
¿De que empezo tu enfermedad?,¿Imamanta kallarin onq'oynin?,dialogo medico,informal,sintomas
"¿como te duele poco, mucho, leve?","¿Imaynatan nanashan pisitachu, ashkatachu, nishutachu?",dialogo medico,informal,sintomas
¿Que cosa aumenta tu dolor?,¿Iman yapasunki nanayta?,dialogo medico,informal,sintomas
¿Te duele la cabeza?,¿Umayki nanan?,dialogo medico,informal,sintomas
¿Orinas bien en la mañana?,¿Hispashankichu allinta tutamanta?,dialogo medico,informal,sintomas
¿Duermes bien?,¿Allytachu puñunky?,dialogo medico,informal,sintomas
¿cuando toces te duele la espalda?,¿uhuqtiyki nananchu wasayki?,dialogo medico,informal,sintomas
¿cuando caminas tu pecho te agita?,¿purijtiyki kasqoyki matisunkichu?,dialogo medico,informal,sintomas
¿te marea la cabeza?,¿umaykichu muyun?,dialogo medico,informal,sintomas
no pongas duro el estomago,wicsaykita ama kuyuchiychu,dialogo medico,informal,sintomas
me duele la boca cuando abro,simiymi nanan kichaqtiy,respuesta breve,informal,sintomas
¿tienes apetito?,¿yarkay hapisunkichu?,dialogo medico,informal,sintomas
¿tienes asco a la comida?,¿millankunkichu mikhunata?,dialogo medico,informal,sintomas
"¿No quieres comer, desde cuando?",¿mana mikhuita munanqichu hayk'acmanta?,dialogo medico,informal,sintomas
¿cuando orinas te arde?,¿Hispaqtiyki K'arasunkichu?,dialogo medico,informal,sintomas
¿tu orina apesta o es amarillo?,¿Hispayniki asnachu o kelluchu?,dialogo medico,informal,sintomas
¿en tu orina has visto sangre?,¿Hispaynikipi yawarta rikurankichu?,dialogo medico,informal,sintomas
¿le viene sangre todos los meses?,¿yawarniki hamun supa killachu?,dialogo medico,informal,sintomas
"¿le baja poca o mucha, de dia o de noche?",¿hamun pisichu o askachu tutachu o punchaychu?,dialogo medico,informal,sintomas
¿desde cuando arrastra su pierna?,¿Hayk'akmanta chaquiykita aysanki?,dialogo medico,informal,sintomas
dele de mamar a su hijo cada tres horas,wawayquita ñuñunky sapa kinsa hora,dialogo medico,informal,salud materno-infantil
ahora que tiene diarrea dele muchos liquidos,kunan kechawan kashan ashkata unuta qonayki,dialogo medico,informal,tratamiento
mañana vienes en ayunas,pakarin hamunki ama mikhuspa,dialogo medico,informal,seguimiento
trae tu orina en este frasco,kay frascopi hispasnikita apamunki,dialogo medico,informal,diagnostico
Trae tus heces,Akaykita apamunki,dialogo medico,informal,diagnostico
te vamos a sacar sangre,yawarta orqosunki,dialogo medico,informal,diagnostico
Tienes que traer a dos personas que te den sangre,Apamunayki iskay runata yawar qunasunquipa,dialogo medico,informal,diagnostico
¿como esta tu pie?,¿Imaynan kashan chakayki?,dialogo medico,informal,sintomas
¿como esta tu herida?,¿imaynan kashan kiriyki?,dialogo medico,informal,sintomas
No te agarres tu herida,Ama japiqunkichu kiriykita,dialogo medico,informal,tratamiento
toma este medicamento dos veces al dia,kay hampita millpunki iskallata punchaypi,dialogo medico,informal,tratamiento
toma este medicamento a las nueve de la noche,kay hampita millpunki pusaq horatutata,dialogo medico,informal,tratamiento
toma este medicamento con bastante agua,kay hampita millpunki ashka unupi,dialogo medico,informal,tratamiento
toma este medicamento despues de cada comida,kay hampita millpunki sapa mikhuna qepata,dialogo medico,informal,tratamiento
come tu comida a tu hora,mikhunata mikhunki horasnikipi,dialogo medico,informal,prevencion
Dame tu mano izquierda,lloq'e makiykita apamuy,dialogo medico,informal,sintomas
no te emborraches mucho,ama nishuta machankichu,dialogo medico,informal,prevencion
no te hagas pasar frio,ama nishuta chirichikunqichu,dialogo medico,informal,prevencion
Avisa si te duele algo,willaykunki imayqipas nanaq,dialogo medico,informal,sintomas
toma todo tu medicamento,tuqunayki llipin hampikita,dialogo medico,informal,tratamiento
tu pierna esta rota,chakayqi pakisqa kashan,dialogo medico,informal,diagnostico
Tu pierna tenemos que amputar,Chakayqita kuchusunkiku,dialogo medico,informal,tratamiento
Paciente presenta fiebre alta y dolor muscular.,"Unqusqaqa sinchi fiebrewan, aycha nanaywan ima riqsichikun",nota clinica,formal,sintomas
Refiere dolor abdominal persistente y náuseas frecuentes.,Payqa willakun wiksa nanasqanmanta sapa kuti nausea kasqanmantawan,nota clinica,formal,sintomas
Presenta tos seca persistente desde hace días.,Payqa achka punchawñam mana saqispa ch'aki tosniyuq,nota clinica,formal,sintomas
Paciente manifiesta fatiga constante y mareos leves.,"Unqusqa willakun sapa kuti sayk'usqa kasqanmanta, llamp'u uma muyusqanmanta ima",nota clinica,formal,sintomas
Dolor en el pecho al respirar profundamente.,Sinchita samaspa sinqa nanay,nota clinica,formal,sintomas
Inflamación visible y dolor en articulación.,Rikuna inflamación y articulaciones nanay,nota clinica,formal,sintomas
Diarrea y vómitos desde la noche anterior.,"Ñawpaq tutamantapacha diarrea, vomito ima",nota clinica,formal,sintomas
Dolor lumbar después de esfuerzo físico intenso,Sinchi kallpawan wasanpi nanay,nota clinica,formal,sintomas
Exámenes de laboratorio confirmaron infección bacteriana leve.,Laboratorio pruebakunapiqa llamp'u infección bacteriana kaqta chiqancharqanku,nota clinica,formal,diagnostico
Análisis clínico detectó anemia moderada en paciente.,Análisis clínico kaqpiqa kay unqusqapi anemia moderada kaqta tarirqa.,nota clinica,formal,diagnostico
Se confirmó diabetes tras examen de glucosa.,Diabetes onqoyqa glucosa nisqamanta prueba ruwasqanku qhepamanmi cheqaqchasqa karqan.,nota clinica,formal,diagnostico
Radiografía evidenció fractura leve en antebrazo.,Radiografía nisqapiqa ñawpaq makipi pisilla p'akisqa kasqanmi rikukurqan.,nota clinica,formal,diagnostico
Resultado positivo para infección urinaria leve.,Resultado positivo kay llamp'u infección urinaria kaqpaq,nota clinica,formal,diagnostico
Ecografía confirmó presencia de cálculos biliares.,Ultrasonido nisqawanmi chiqapchakurqa rumi biliar nisqakuna kasqanmanta,nota clinica,formal,diagnostico
Exámenes confirmaron deshidratación leve en paciente,Pruebakuna chiqancharqanku llamp'u deshidratación kaqta unqusqapi,nota clinica,formal,diagnostico
Se indicó reposo absoluto durante cinco días,Pichqa punchawpaqmi absoluta samayta kamachirqaku,nota clinica,formal,tratamiento
Se recomendó dieta rica en hierro,Hierroyuq mikhuyta yuyaycharqanku.,nota clinica,formal,tratamiento
Inició fisioterapia para recuperar movilidad articular.,"Payqa fisioterapia nisqawanmi hampichikuyta qallarirqan, chhaynapi articulacionkunata wakmanta purinanpaq.",nota clinica,formal,tratamiento
Se indicó hidratación constante y reposo domiciliario.,Sapa kuti hidratacionta hinaspa wasipi samaytapas allinmi karqa.,nota clinica,formal,tratamiento
Dieta blanda recomendada por tres días,Kimsa punchawpaq llampu mikuy yuyaychasqa,nota clinica,formal,tratamiento
Inmovilización temporal del brazo afectado.,Inmovilización temporal de la brazo afectado nisqa.,nota clinica,formal,tratamiento
Reposo domiciliario y líquidos abundantes recomendados.,Wasipi samay hinaspa achka yakukuna recomendasqa,nota clinica,formal,tratamiento
Tomar paracetamol cada ocho horas por fiebre.,Paracetamol hampita sapa pusaq horamanta upyana fiebrepaq.,nota clinica,formal,tratamiento
Antibiótico indicado por siete días consecutivos.,Antibiótico nisqa qanchis p'unchaw qatiqninpi rikuchisqa.,nota clinica,formal,tratamiento
Aplicar crema antiinflamatoria dos veces al día.,P'unchawpi iskay kutita crema antiinflamatoria nisqawan churana.,nota clinica,formal,tratamiento
Jarabe prescrito para aliviar tos nocturna.,Tuta tos allinyachinapaq kamachisqa jarabe,nota clinica,formal,tratamiento
Tomar suplemento de hierro en ayunas.,Ch'usaq wiksallapi hierromanta hampita upyana.,nota clinica,formal,tratamiento
Uso de inhalador según indicación médica.,Doctorpa kamachisqanman hina inhalador nisqawan yanapachikuy,nota clinica,formal,tratamiento
Antiinflamatorio indicado cada doce horas.,Antiinflamatorio nisqa sapa chunka iskayniyuq horamanta rikuchisqa,nota clinica,formal,tratamiento
Lavarse las manos antes de cada comida.,Sapa mikhunata manaraq mikhuchkaspa makiykita mayllakuna.,dialogo medico,informal,prevencion
Consumir agua hervida evita infecciones gastrointestinales,T'impusqa yakuta upyayqa hark'anmi infecciones gastrointestinales nisqakunata,dialogo medico,informal,prevencion
Evitar cambios bruscos de temperatura corporal.,Ama qunqayllamanta cuerpopa temperaturan cambianachu,dialogo medico,informal,prevencion
Mantener alimentación balanceada fortalece defensas naturales.,Allin mikhunata hap'iyqa natural defensakunatan kallpachan,dialogo medico,informal,prevencion
Uso de mascarilla en casos gripales.,Gripe onqoyniyoq kaqtinqa uya mascarakunata utilizay.,dialogo medico,informal,prevencion
Evitar exposición prolongada a bajas temperaturas.,Ama unayta pisi q'uñipi churaychu,dialogo medico,informal,prevencion
Realizar actividad física mejora salud cardiovascular.,Aycha kallpaypi llamk'ayqa sunqumanta qhali kayta allinchan,dialogo medico,informal,prevencion
Recibió vacuna contra influenza sin complicaciones.,Payqa mana sasachakuyniyuq gripe vacunata chaskirqa,nota clinica,formal,vacunacion
Se aplicó primera dosis del esquema regular.,Kay ñawpaq dosis kay horario regular kaqmanta qusqa karqa,nota clinica,formal,vacunacion
Recibió refuerzo contra neumonía este mes.,Payka kay killapimi neumonía unquymanta vacuna de refuerzota chaskirqa,nota clinica,formal,vacunacion
Niño completó esquema obligatorio de vacunación.,Wawa hunt'asqa obligatorio vacunación horario,nota clinica,formal,vacunacion
Vacuna administrada según calendario nacional vigente,Vacuna qusqa kunan horario nacional nisqaman hina,nota clinica,formal,vacunacion
Adulto mayor recibió dosis de refuerzo.,Machu runaqa dosis de refuerzo nisqatam chaskirqa,nota clinica,formal,vacunacion
Se aplicó vacuna contra el VPH.,Kay VPH vacuna kaqta churakurqa.,nota clinica,formal,vacunacion
Debe regresar a control médico en dos semanas.,Iskay semanamantam kutinayki hampichikunaykipaq,dialogo medico,informal,seguimiento
Paciente deberá asistir a evaluación mensual.,Unqusqa sapa killa evaluacionman rinan tiyan,nota clinica,formal,seguimiento
Controlar presión arterial diariamente en casa.,Sapa punchaw wasiykipi yawarpa ñitiyninta qaway.,dialogo medico,informal,seguimiento
Cita médica programada para revisión general.,Cita médico programasqa general revisión nisqapaq,nota clinica,formal,seguimiento
Evaluación médica posterior al tratamiento antibiótico.,Antibiótico hampiywan hampichikuy chaninchay,nota clinica,formal,seguimiento
Control prenatal programado cada cuatro semanas.,Sapa tawa semanamanta prenatal revisakuna programasqa,nota clinica,formal,salud materno-infantil
Paciente continúa controles periódicos por hipertensión,Unqusqa sapa kuti qhawaykunata ruwan hipertensión kaqpaq,nota clinica,formal,seguimiento
Me duele la cabeza,Umaymi nanawan,respuesta breve,informal,sintomas
Me duele el estómago,Wiksaymi nanawan,respuesta breve,informal,sintomas
Me duele la garganta,Kunkaymi nanawan,respuesta breve,informal,sintomas
Me duele el pecho,Qasquymi nanawan,respuesta breve,informal,sintomas
Me duele la espalda,Wasaymi nanawan,respuesta breve,informal,sintomas
Me duele la rodilla,Muquymi nanawan,respuesta breve,informal,sintomas
Me duele el oído,Linliymi nanawan,respuesta breve,informal,sintomas
Me duele el cuerpo entero,Entero cuerpuymi nanawan,respuesta breve,informal,sintomas
Hasta cuando descanso me duele,Hasta samariptiypas nanawanmi,respuesta breve,informal,sintomas
Me duele mucho aquí,Llumpaytam nanawan,respuesta breve,informal,sintomas
Me duele la cabeza,Umaymi nanawan,respuesta breve,informal,sintomas
Me duele el estómago,Wiksaymi nanawan,respuesta breve,informal,sintomas
Me duele la garganta,Mallq'a nanawan,respuesta breve,informal,sintomas
Me duele el pecho,Qhasquymi nanawan,respuesta breve,informal,sintomas
Me duele la espalda,Wasaymi nanan,respuesta breve,informal,sintomas
Me duele la rodilla,Qonqoriyqa nanawan,respuesta breve,informal,sintomas
Me duele el oído,Rinriymi nanawan,respuesta breve,informal,sintomas
Me duele todo el cuerpo,Tukuy ukhuy nanawan,respuesta breve,informal,sintomas
Me duele cuando descanso,Samaspayqa nanawan,respuesta breve,informal,sintomas
Me duele mucho aquí,Kaypin sinchita nanawan,respuesta breve,informal,sintomas
Tengo fiebre,Ruphaywanmi kashani,respuesta breve,informal,sintomas
Tengo mareos,Uma muyuwashian,respuesta breve,informal,sintomas
No tengo hambre,Mana yarqawachkanchu,respuesta breve,informal,sintomas
Estoy muy cansado,Sinchi sayk'usqa kashani,respuesta breve,informal,sintomas
No puedo dormir,Mana puñuy atinichu,respuesta breve,informal,sintomas
Tengo náuseas,Aqtupakuyman kashani,respuesta breve,informal,sintomas
Estoy vomitando,Aqtushani,respuesta breve,informal,sintomas
Me duele el brazo,Rikraymi nanawan kachkan,respuesta breve,informal,sintomas
Me duele la pierna,Chakinmi nanawan,respuesta breve,informal,sintomas
Me duele la cintura,Chumpimi nanawan kachkan,respuesta breve,informal,sintomas
Me duele el cuello,Kunkaymi nanawan,respuesta breve,informal,sintomas
Me duelen los huesos,Tulluykunaymi nanawan,respuesta breve,informal,sintomas
Me duele al orinar,Ispachiykaqtiymi nanawan,respuesta breve,informal,sintomas
Me duele la muela,Kiruymi nanawan kachkan,respuesta breve,informal,sintomas
Me duele la vista,Ñawiymi nanawan,respuesta breve,informal,sintomas
No puedo caminar,Manam puriytaqa atinichu,respuesta breve,informal,sintomas
No puedo moverme,Manam kuyuytallaqa atinichu,respuesta breve,informal,sintomas
Tengo fiebre,Ruphaywan kachkani,respuesta breve,informal,sintomas
Tengo frío,Chiriywan kachkani,respuesta breve,informal,sintomas
Tengo calor,Quniywan kachkani,respuesta breve,informal,sintomas
Estoy mareado,Umayqa muyurichkan,respuesta breve,informal,sintomas
No tengo hambre,Manam yarqasqachu kachkani,respuesta breve,informal,sintomas
Estoy muy cansado,Sinchita saqisqa kachkani,respuesta breve,informal,sintomas
No puedo dormir,Manam puñuytaqa atinichu,respuesta breve,informal,sintomas
Tengo náuseas,Millay haykuwan,respuesta breve,informal,sintomas
Estoy vomitando,Lantikachkani,respuesta breve,informal,sintomas
Tengo diarrea,Chiri ispa kachkan,respuesta breve,informal,sintomas
Me siento débil,Mana kallpayuq kachkani,respuesta breve,informal,sintomas
Estoy temblando,Khatatachkani,respuesta breve,informal,sintomas
Me late fuerte el corazón,Sunquymi sinchita takachkan,respuesta breve,informal,sintomas
Estoy sudando mucho,Sinchita hunpachkani,respuesta breve,informal,sintomas
Me siento mal,Mana allin kachkani,respuesta breve,informal,sintomas
No tengo fuerzas,Manam kallpayniyuqchu kachkani,respuesta breve,informal,sintomas
Estoy decaído,Urmachisqa kachkani,respuesta breve,informal,sintomas
Me duele el cuerpo entero,Tukuy kurkuymi nanawan,respuesta breve,informal,sintomas
Tengo escalofríos,Khatataywan kachkani,respuesta breve,informal,sintomas
Me siento enfermo,Unqusqa kachkani,respuesta breve,informal,sintomas
Tengo tos,Uhukachkani,respuesta breve,informal,sintomas
No puedo respirar bien,Manam allinchu samayni,respuesta breve,informal,sintomas
Me falta el aire,Samayniyqa pisiyamuchkan,respuesta breve,informal,sintomas
Tengo gripe,Chiri unquywan kachkani,respuesta breve,informal,sintomas
Tengo la nariz tapada,Sinqayqa wichqasqa kachkan,respuesta breve,informal,sintomas
Estoy resfriado,Chiri hapiwasqa kachkani,respuesta breve,informal,sintomas
Toso con sangre,Yawarwan uhukachkani,respuesta breve,informal,sintomas
Me duele al respirar,Samaqtiymi nanawan,respuesta breve,informal,sintomas
Tengo flema,Tuqlluyuq kachkani,respuesta breve,informal,sintomas
Estornudo mucho,Sinchita achhiykachkani,respuesta breve,informal,sintomas
Me ahogo,Samaypa chinkachkan,respuesta breve,informal,sintomas
Tengo el pecho apretado,Qhasquyqa harkasqa kachkan,respuesta breve,informal,sintomas
Silba mi pecho,Qhasquyqa waqtanchakan,respuesta breve,informal,sintomas
Respiro con dificultad,Manam allintaqa samaynichu,respuesta breve,informal,sintomas
Tengo asma,Hukchiy unquywan kachkani,respuesta breve,informal,sintomas
Estoy embarazada,Wawayuq kachkani,respuesta breve,informal,seguimiento
Mi bebé está enfermo,Waway unqusqa kachkan,respuesta breve,informal,sintomas
Mi hijo tiene fiebre,Churiyqa ruphaywan kachkan,respuesta breve,informal,sintomas
No tengo leche,Manam ñuñuyuqchu kachkani,respuesta breve,informal,seguimiento
Estoy de cinco meses,Pichqa killanayuqmi kachkani,respuesta breve,informal,seguimiento
Mi bebé no quiere comer,Wawaymi manam mikhuytaqa munakuchunchu,respuesta breve,informal,sintomas
Mi hijo llora mucho,Churiyqa sinchita waqan,respuesta breve,informal,sintomas
Necesito control prenatal,Wawapaq qhawayta munakuni,respuesta breve,informal,seguimiento
Ya voy a dar a luz,Wawatañam paririsaq,respuesta breve,informal,seguimiento
Mi bebé tiene diarrea,Wawaymi chiri ispa kachkan,respuesta breve,informal,sintomas
No puedo amamantar,Manam ñuñuytaqa atinichu,respuesta breve,informal,seguimiento
Mi leche se secó,Ñuñuyqa chakisqaña kachkan,respuesta breve,informal,seguimiento
Mi bebé no duerme,Wawaymi manam puñukuchunchu,respuesta breve,informal,sintomas
Mi hijo no come,Churiyqa manam mikhuchunchu,respuesta breve,informal,sintomas
Mi bebé tiene tos,Wawaymi uhukachkan,respuesta breve,informal,sintomas
Necesito vacunar a mi hijo,Churiyta inyaksichiy munakuni,respuesta breve,informal,vacunacion
Mi hijo está desnutrido,Churiyqa qarullaqa kachkan,respuesta breve,informal,sintomas
Mi bebé vomita,Wawaymi lantikachkan,respuesta breve,informal,sintomas
Tengo dolores de parto,Waway paririkuyninta nanawan,respuesta breve,informal,seguimiento
Mi agua se rompió,Yakuyqa pakirikupun,respuesta breve,informal,seguimiento
Necesito medicina,Hampita munakuni,respuesta breve,informal,medicacion
Ya tomé la pastilla,Pastillataña ukhurkuni,respuesta breve,informal,medicacion
No me hace efecto,Manam yanapawanchu,respuesta breve,informal,medicacion
Vine para mi control,Qhawanaypaq hamurqani,respuesta breve,informal,seguimiento
Quiero vacunarme,Inyaksichikuyta munakuni,respuesta breve,informal,vacunacion
Me duele donde me inyectaron,Inyaksiwan wasiymi nanawan,respuesta breve,informal,vacunacion
Se me acabó la medicina,Hampiymi tukukapun,respuesta breve,informal,medicacion
No tengo dinero para medicina,Manam qulqiyuqchu kachkani hampipaq,respuesta breve,informal,medicacion
Cuándo debo volver,Haykaqtaq kutimuyman,respuesta breve,informal,seguimiento
Me siento mejor,Allintañam kachkani,respuesta breve,informal,seguimiento
La medicina me cayó mal,Hampiymi mana allin kapuwan,respuesta breve,informal,medicacion
Tomé la medicina equivocada,Pantasqa hampita ukhurkuni,respuesta breve,informal,medicacion
Me recetó el doctor,Hampiymanta qamariwan,respuesta breve,informal,medicacion
No sé tomar esta medicina,Kay hampita manam yachanichu ukhuyta,respuesta breve,informal,medicacion
Cuántas pastillas tomo al día,Hayka pastillatataq sapa punchaw ukhurisaq,respuesta breve,informal,medicacion
Antes o después de comer,Mikhuypa ñawpaqninchu utaq qhipanninchu,respuesta breve,informal,medicacion
Tengo alergia a este medicamento,Kay hampiman mana allinchu kachkani,respuesta breve,informal,medicacion
No mejoro con la medicina,Hampiwanqa manam allinchu kachkani,respuesta breve,informal,medicacion
Necesito otra medicina,Huk hampita munakuni,respuesta breve,informal,medicacion
Esta medicina es muy cara,Kay hampiqa sinchitam qullqiyuq,respuesta breve,informal,medicacion
No encuentro esta medicina,Kay hampitaqa manam tarinichu,respuesta breve,informal,medicacion
Me hace doler el estómago,Wiksayta nanachiwanchkan,respuesta breve,informal,medicacion
Tomé té de hierbas,Qura tita ukhurkuni,respuesta breve,informal,medicacion
Necesito inyección,Inyaksiyta munakuni,respuesta breve,informal,medicacion
Cuánto cuesta la consulta,Haykatataq qhawanapaq pagakuna kachkan,respuesta breve,informal,seguimiento
Me caí,Urmarikupuni,respuesta breve,informal,sintomas
Me corté,Khuchukurikupuni,respuesta breve,informal,sintomas
Me quemé,Ruphaykachakupuni,respuesta breve,informal,sintomas
Me mordió un perro,Allqum kaniwanchkan,respuesta breve,informal,sintomas
Me picó un insecto,Chuspim tuqyarqawan,respuesta breve,informal,sintomas
Estoy sangrando,Yawarmi lluqsichkan,respuesta breve,informal,sintomas
Me rompí el brazo,Rikriymi pakikupun,respuesta breve,informal,sintomas
Me torcí el pie,Chakinmi wiqrukupun,respuesta breve,informal,sintomas
Me atragante,Tunqurmanmi wisq'akupun,respuesta breve,informal,sintomas
Me desmayé,Wañuyarqani,respuesta breve,informal,sintomas
Tuve un accidente,Allipa llakikuy kapuwan,respuesta breve,informal,sintomas
Me golpearon,Waytarqawanku,respuesta breve,informal,sintomas
Perdí el conocimiento,Yuyayniyta chinkarqani,respuesta breve,informal,sintomas
No puedo levantarme,Manam hatariytallaqa atinichu,respuesta breve,informal,sintomas
Llamen a mi familia,Aylluyta waqyariy,respuesta breve,informal,seguimiento
Quiero hacerme un chequeo,Qhawachiykuyta munakuni,respuesta breve,informal,prevencion
Necesito análisis de sangre,Yawar qhawariyta munakuni,respuesta breve,informal,diagnostico
Dónde puedo vacunarme,Maypitaq inyaksichikuyman,respuesta breve,informal,vacunacion
Quiero prevenir enfermedades,Unquyta harkakuyta munakuni,respuesta breve,informal,prevencion
Necesito vitaminas,Kallpachaq hampita munakuni,respuesta breve,informal,medicacion
Cómo me cuido,Imaynatataq waqaychakuyman,respuesta breve,informal,prevencion
Qué debo comer,Imataq mikhuy kachkan,respuesta breve,informal,prevencion
Puedo hacer ejercicio,Kallpachiykuytachu atiyman,respuesta breve,informal,prevencion
Necesito descansar,Samariy munakuni,respuesta breve,informal,tratamiento
Debo tomar mucha agua,Achkha yakuta ukhuyman kachkan,respuesta breve,informal,prevencion
Me lavo las manos seguido,Makiytam sapa kuti maqchikuni,respuesta breve,informal,prevencion
Uso mascarilla,Uyata qataykuyta ruraskani,respuesta breve,informal,prevencion
Mantengo distancia,Karumanta kachkani,respuesta breve,informal,prevencion
Ventilo mi casa,Wasitam wayrachini,respuesta breve,informal,prevencion
Como saludable,Allin mikhuykunata mikhuni,respuesta breve,informal,prevencion
Desde cuándo me duele,Hayk'aqpachataq nanawasqa,respuesta breve,informal,diagnostico
Todos los días me duele,Sapa punchaymi nanawan,respuesta breve,informal,diagnostico
Solo a veces,Sapa kuti kikinchu,respuesta breve,informal,diagnostico
En las mañanas nomás,Paqarinkunapim,respuesta breve,informal,diagnostico
Toda la noche,Tukuy tutam,respuesta breve,informal,diagnostico
Me duele cuando como,Mikhuytiymi nanawan,respuesta breve,informal,diagnostico
Después de trabajar,Llamkasqamantam,respuesta breve,informal,diagnostico
Siempre me duele,Sapa kutim nanawan,respuesta breve,informal,diagnostico
Es nuevo este dolor,Musuqlam kay nanay,respuesta breve,informal,diagnostico
Ya me dolía antes,Ñawpaqpachatañam nanawasqa,respuesta breve,informal,diagnostico
"Buenos días, ¿cuál es el motivo de su consulta hoy?","Allin p’unchay, ¿imaraykutaq kunan p’unchay tapusqayki?",dialogo medico,formal,diagnostico
Siento un dolor muy fuerte en la boca del estómago desde ayer.,Qayna punchawmantapacham wiksaypi ancha sinchi nanawan.,dialogo medico,formal,diagnostico
¿Ha tenido fiebre o escalofríos durante la última noche?,¿Qhipa tutapi fiebre utaq chiriyuqchu karqanki?,dialogo medico,formal,diagnostico
Me duele mucho la cabeza y siento que todo me da vueltas.,Umaymi anchata nanawan hinaspam tukuy imapas muyuchkaq hina tarikuni.,dialogo medico,formal,diagnostico
"Respire profundo mientras escucho sus pulmones, por favor.","Pulmonniykita uyarichkaptiy allinta samay, ama hina kaspa.",dialogo medico,formal,diagnostico
¿Es usted alérgico a algún medicamento como la penicilina?,"¿Ima hampimanpas alergiayuqchu kanki, ahinataq penicilinaman?",dialogo medico,formal,diagnostico
Tome esta pastilla cada ocho horas después de los alimentos.,Kay pastillataqa sapa pusaq hora mikhuymanta upyana.,dialogo medico,formal,diagnostico
¿Desde cuándo siente esa opresión en el lado izquierdo del pecho?,¿Hayk’a tiempon sinqaykiq lloq’e ladonpi kay k’iski kayta sientenki?,dialogo medico,formal,diagnostico
Necesito que se haga un análisis de sangre y una ecografía.,"Necesitayki yawarmanta prueba ruwanaykita, ultrasonidota ruwanaykita.",dialogo medico,formal,diagnostico
¿Ha notado alguna mancha o sarpullido extraño en su piel?,¿Repararqankichu aycha qaraykipi mana costumbre kaq manchakunata otaq erupciones nisqakunata?,dialogo medico,formal,diagnostico
