espanol,quechua_texto,cluster_id,cluster_label,tipo_habla,nivel_formalidad,tema
Realizar actividad física mejora salud cardiovascular.,Aycha kallpaypi llamk'ayqa sunqumanta qhali kayta allinchan,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,prevencion
Recibió vacuna contra influenza sin complicaciones.,Payqa mana sasachakuyniyuq gripe vacunata chaskirqa,2,PROCEDIMIENTOS_DIAGNOSTICOS,nota clinica,formal,vacunacion
Se aplicó primera dosis del esquema regular.,Kay ñawpaq dosis kay horario regular kaqmanta qusqa karqa,4,RESPIRATORIO_CARDIACO_URGENCIA,nota clinica,formal,vacunacion
Recibió refuerzo contra neumonía este mes.,Payka kay killapimi neumonía unquymanta vacuna de refuerzota chaskirqa,4,RESPIRATORIO_CARDIACO_URGENCIA,nota clinica,formal,vacunacion
Niño completó esquema obligatorio de vacunación.,Wawa hunt'asqa obligatorio vacunación horario,4,RESPIRATORIO_CARDIACO_URGENCIA,nota clinica,formal,vacunacion
Vacuna administrada según calendario nacional vigente,Vacuna qusqa kunan horario nacional nisqaman hina,5,INSTRUCCIONES_MEDICACION_DOSIS,nota clinica,formal,vacunacion
Adulto mayor recibió dosis de refuerzo.,Machu runaqa dosis de refuerzo nisqatam chaskirqa,0,GESTION_SALUD_GENERAL,nota clinica,formal,vacunacion
Se aplicó vacuna contra el VPH.,Kay VPH vacuna kaqta churakurqa.,6,DOLOR_PECHO_RESPIRATORIO,nota clinica,formal,vacunacion
Debe regresar a control médico en dos semanas.,Iskay semanamantam kutinayki hampichikunaykipaq,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,informal,seguimiento
Paciente deberá asistir a evaluación mensual.,Unqusqa sapa killa evaluacionman rinan tiyan,5,INSTRUCCIONES_MEDICACION_DOSIS,nota clinica,formal,seguimiento
Controlar presión arterial diariamente en casa.,Sapa punchaw wasiykipi yawarpa ñitiyninta qaway.,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,informal,seguimiento
Cita médica programada para revisión general.,Cita médico programasqa general revisión nisqapaq,4,RESPIRATORIO_CARDIACO_URGENCIA,nota clinica,formal,seguimiento
Evaluación médica posterior al tratamiento antibiótico.,Antibiótico hampiywan hampichikuy chaninchay,5,INSTRUCCIONES_MEDICACION_DOSIS,nota clinica,formal,seguimiento
Control prenatal programado cada cuatro semanas.,Sapa tawa semanamanta prenatal revisakuna programasqa,2,PROCEDIMIENTOS_DIAGNOSTICOS,nota clinica,formal,salud materno-infantil
Paciente continúa controles periódicos por hipertensión,Unqusqa sapa kuti qhawaykunata ruwan hipertensión kaqpaq,5,INSTRUCCIONES_MEDICACION_DOSIS,nota clinica,formal,seguimiento
Me duele la cabeza,Umaymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el estómago,Wiksaymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la garganta,Kunkaymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el pecho,Qasquymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele la espalda,Wasaymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la rodilla,Muquymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el oído,Linliymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele el cuerpo entero,Entero cuerpuymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Hasta cuando descanso me duele,Hasta samariptiypas nanawanmi,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele mucho aquí,Llumpaytam nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la garganta,Mallq'a nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el pecho,Qhasquymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele la espalda,Wasaymi nanan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la rodilla,Qonqoriyqa nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el oído,Rinriymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele todo el cuerpo,Tukuy ukhuy nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele cuando descanso,Samaspayqa nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele mucho aquí,Kaypin sinchita nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tengo fiebre,Ruphaywanmi kashani,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tengo mareos,Uma muyuwashian,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
No tengo hambre,Mana yarqawachkanchu,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Estoy muy cansado,Sinchi sayk'usqa kashani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
No puedo dormir,Mana puñuy atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo náuseas,Aqtupakuyman kashani,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Estoy vomitando,Aqtushani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele el brazo,Rikraymi nanawan kachkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele la pierna,Chakinmi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la cintura,Chumpimi nanawan kachkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele el cuello,Kunkaymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duelen los huesos,Tulluykunaymi nanawan,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Me duele al orinar,Ispachiykaqtiymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la muela,Kiruymi nanawan kachkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me duele la vista,Ñawiymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
No puedo caminar,Manam puriytaqa atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
No puedo moverme,Manam kuyuytallaqa atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo fiebre,Ruphaywan kachkani,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tengo frío,Chiriywan kachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo calor,Quniywan kachkani,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Estoy mareado,Umayqa muyurichkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
No tengo hambre,Manam yarqasqachu kachkani,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Estoy muy cansado,Sinchita saqisqa kachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
No puedo dormir,Manam puñuytaqa atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo náuseas,Millay haykuwan,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Estoy vomitando,Lantikachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo diarrea,Chiri ispa kachkan,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
Me siento débil,Mana kallpayuq kachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Estoy temblando,Khatatachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me late fuerte el corazón,Sunquymi sinchita takachkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Estoy sudando mucho,Sinchita hunpachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me siento mal,Mana allin kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
No tengo fuerzas,Manam kallpayniyuqchu kachkani,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Estoy decaído,Urmachisqa kachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele el cuerpo entero,Tukuy kurkuymi nanawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo escalofríos,Khatataywan kachkani,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Me siento enfermo,Unqusqa kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
Tengo tos,Uhukachkani,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
No puedo respirar bien,Manam allinchu samayni,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me falta el aire,Samayniyqa pisiyamuchkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tengo gripe,Chiri unquywan kachkani,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Tengo la nariz tapada,Sinqayqa wichqasqa kachkan,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
Estoy resfriado,Chiri hapiwasqa kachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Toso con sangre,Yawarwan uhukachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me duele al respirar,Samaqtiymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tengo flema,Tuqlluyuq kachkani,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
Estornudo mucho,Sinchita achhiykachkani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me ahogo,Samaypa chinkachkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo el pecho apretado,Qhasquyqa harkasqa kachkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Silba mi pecho,Qhasquyqa waqtanchakan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Respiro con dificultad,Manam allintaqa samaynichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Tengo asma,Hukchiy unquywan kachkani,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
Estoy embarazada,Wawayuq kachkani,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,seguimiento
Mi bebé está enfermo,Waway unqusqa kachkan,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
Mi hijo tiene fiebre,Churiyqa ruphaywan kachkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
No tengo leche,Manam ñuñuyuqchu kachkani,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,seguimiento
Estoy de cinco meses,Pichqa killanayuqmi kachkani,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,seguimiento
Mi bebé no quiere comer,Wawaymi manam mikhuytaqa munakuchunchu,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,sintomas
Mi hijo llora mucho,Churiyqa sinchita waqan,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
Necesito control prenatal,Wawapaq qhawayta munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,seguimiento
Ya voy a dar a luz,Wawatañam paririsaq,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,seguimiento
Mi bebé tiene diarrea,Wawaymi chiri ispa kachkan,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,sintomas
No puedo amamantar,Manam ñuñuytaqa atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,seguimiento
Mi leche se secó,Ñuñuyqa chakisqaña kachkan,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,seguimiento
Mi bebé no duerme,Wawaymi manam puñukuchunchu,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
Mi hijo no come,Churiyqa manam mikhuchunchu,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,sintomas
Mi bebé tiene tos,Wawaymi uhukachkan,1,DOLOR_LOCALIZADO,respuesta breve,informal,sintomas
Necesito vacunar a mi hijo,Churiyta inyaksichiy munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,vacunacion
Mi hijo está desnutrido,Churiyqa qarullaqa kachkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Mi bebé vomita,Wawaymi lantikachkan,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,sintomas
Tengo dolores de parto,Waway paririkuyninta nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,seguimiento
Mi agua se rompió,Yakuyqa pakirikupun,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,seguimiento
Necesito medicina,Hampita munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,medicacion
Ya tomé la pastilla,Pastillataña ukhurkuni,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
No me hace efecto,Manam yanapawanchu,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
Vine para mi control,Qhawanaypaq hamurqani,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,seguimiento
Quiero vacunarme,Inyaksichikuyta munakuni,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,vacunacion
Me duele donde me inyectaron,Inyaksiwan wasiymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,vacunacion
Se me acabó la medicina,Hampiymi tukukapun,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
No tengo dinero para medicina,Manam qulqiyuqchu kachkani hampipaq,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
Cuándo debo volver,Haykaqtaq kutimuyman,0,GESTION_SALUD_GENERAL,respuesta breve,informal,seguimiento
Me siento mejor,Allintañam kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,seguimiento
La medicina me cayó mal,Hampiymi mana allin kapuwan,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
Tomé la medicina equivocada,Pantasqa hampita ukhurkuni,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
Me recetó el doctor,Hampiymanta qamariwan,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,medicacion
No sé tomar esta medicina,Kay hampita manam yachanichu ukhuyta,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
Cuántas pastillas tomo al día,Hayka pastillatataq sapa punchaw ukhurisaq,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
Antes o después de comer,Mikhuypa ñawpaqninchu utaq qhipanninchu,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
Tengo alergia a este medicamento,Kay hampiman mana allinchu kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
No mejoro con la medicina,Hampiwanqa manam allinchu kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
Necesito otra medicina,Huk hampita munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,medicacion
Esta medicina es muy cara,Kay hampiqa sinchitam qullqiyuq,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,medicacion
No encuentro esta medicina,Kay hampitaqa manam tarinichu,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,medicacion
Me hace doler el estómago,Wiksayta nanachiwanchkan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,medicacion
Tomé té de hierbas,Qura tita ukhurkuni,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,medicacion
Necesito inyección,Inyaksiyta munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,medicacion
Cuánto cuesta la consulta,Haykatataq qhawanapaq pagakuna kachkan,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,seguimiento
Me caí,Urmarikupuni,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,sintomas
Me corté,Khuchukurikupuni,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,sintomas
Me quemé,Ruphaykachakupuni,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
Me mordió un perro,Allqum kaniwanchkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me picó un insecto,Chuspim tuqyarqawan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Estoy sangrando,Yawarmi lluqsichkan,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me rompí el brazo,Rikriymi pakikupun,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Me torcí el pie,Chakinmi wiqrukupun,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me atragante,Tunqurmanmi wisq'akupun,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Me desmayé,Wañuyarqani,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,sintomas
Tuve un accidente,Allipa llakikuy kapuwan,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
Me golpearon,Waytarqawanku,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,sintomas
Perdí el conocimiento,Yuyayniyta chinkarqani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,sintomas
No puedo levantarme,Manam hatariytallaqa atinichu,0,GESTION_SALUD_GENERAL,respuesta breve,informal,sintomas
Llamen a mi familia,Aylluyta waqyariy,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,seguimiento
Quiero hacerme un chequeo,Qhawachiykuyta munakuni,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,prevencion
Necesito análisis de sangre,Yawar qhawariyta munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,diagnostico
Dónde puedo vacunarme,Maypitaq inyaksichikuyman,0,GESTION_SALUD_GENERAL,respuesta breve,informal,vacunacion
Quiero prevenir enfermedades,Unquyta harkakuyta munakuni,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,prevencion
Necesito vitaminas,Kallpachaq hampita munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,medicacion
Cómo me cuido,Imaynatataq waqaychakuyman,0,GESTION_SALUD_GENERAL,respuesta breve,informal,prevencion
Qué debo comer,Imataq mikhuy kachkan,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,prevencion
Puedo hacer ejercicio,Kallpachiykuytachu atiyman,0,GESTION_SALUD_GENERAL,respuesta breve,informal,prevencion
Necesito descansar,Samariy munakuni,4,RESPIRATORIO_CARDIACO_URGENCIA,respuesta breve,informal,tratamiento
Debo tomar mucha agua,Achkha yakuta ukhuyman kachkan,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,prevencion
Me lavo las manos seguido,Makiytam sapa kuti maqchikuni,0,GESTION_SALUD_GENERAL,respuesta breve,informal,prevencion
Uso mascarilla,Uyata qataykuyta ruraskani,0,GESTION_SALUD_GENERAL,respuesta breve,informal,prevencion
Mantengo distancia,Karumanta kachkani,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,prevencion
Ventilo mi casa,Wasitam wayrachini,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,prevencion
Como saludable,Allin mikhuykunata mikhuni,5,INSTRUCCIONES_MEDICACION_DOSIS,respuesta breve,informal,prevencion
Desde cuándo me duele,Hayk'aqpachataq nanawasqa,0,GESTION_SALUD_GENERAL,respuesta breve,informal,diagnostico
Todos los días me duele,Sapa punchaymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,diagnostico
Solo a veces,Sapa kuti kikinchu,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,diagnostico
En las mañanas nomás,Paqarinkunapim,1,DOLOR_LOCALIZADO,respuesta breve,informal,diagnostico
Toda la noche,Tukuy tutam,6,DOLOR_PECHO_RESPIRATORIO,respuesta breve,informal,diagnostico
Me duele cuando como,Mikhuytiymi nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,diagnostico
Después de trabajar,Llamkasqamantam,2,PROCEDIMIENTOS_DIAGNOSTICOS,respuesta breve,informal,diagnostico
Siempre me duele,Sapa kutim nanawan,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,diagnostico
Es nuevo este dolor,Musuqlam kay nanay,0,GESTION_SALUD_GENERAL,respuesta breve,informal,diagnostico
Ya me dolía antes,Ñawpaqpachatañam nanawasqa,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,respuesta breve,informal,diagnostico
"Buenos días, ¿cuál es el motivo de su consulta hoy?","Allin p’unchay, ¿imaraykutaq kunan p’unchay tapusqayki?",2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,diagnostico
Siento un dolor muy fuerte en la boca del estómago desde ayer.,Qayna punchawmantapacham wiksaypi ancha sinchi nanawan.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,diagnostico
¿Ha tenido fiebre o escalofríos durante la última noche?,¿Qhipa tutapi fiebre utaq chiriyuqchu karqanki?,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,diagnostico
Me duele mucho la cabeza y siento que todo me da vueltas.,Umaymi anchata nanawan hinaspam tukuy imapas muyuchkaq hina tarikuni.,3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,diagnostico
"Respire profundo mientras escucho sus pulmones, por favor.","Pulmonniykita uyarichkaptiy allinta samay, ama hina kaspa.",0,GESTION_SALUD_GENERAL,dialogo medico,formal,diagnostico
¿Es usted alérgico a algún medicamento como la penicilina?,"¿Ima hampimanpas alergiayuqchu kanki, ahinataq penicilinaman?",5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,diagnostico
Tome esta pastilla cada ocho horas después de los alimentos.,Kay pastillataqa sapa pusaq hora mikhuymanta upyana.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,diagnostico
¿Desde cuándo siente esa opresión en el lado izquierdo del pecho?,¿Hayk’a tiempon sinqaykiq lloq’e ladonpi kay k’iski kayta sientenki?,0,GESTION_SALUD_GENERAL,dialogo medico,formal,diagnostico
Necesito que se haga un análisis de sangre y una ecografía.,"Necesitayki yawarmanta prueba ruwanaykita, ultrasonidota ruwanaykita.",4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,diagnostico
¿Ha notado alguna mancha o sarpullido extraño en su piel?,¿Repararqankichu aycha qaraykipi mana costumbre kaq manchakunata otaq erupciones nisqakunata?,0,GESTION_SALUD_GENERAL,dialogo medico,formal,diagnostico
Mi hijo tiene mucha tos y no puede dormir por las noches.,"Wawayqa mana allin tosniyuq, tutapi mana puñuyta atinchu.",3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,tratamiento
Vamos a medir su presión arterial para ver si está estable.,"Yawarpa ñit'iyninta tupusaqku, mana kuyuriqchu icha manachu chayta qhawanaykupaq.",4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,tratamiento
¿Ha perdido el apetito o el sentido del gusto últimamente?,¿Qhipa watakunapi manaña mikhuyta munankichu nitaq gustotachu munarqanki?,0,GESTION_SALUD_GENERAL,dialogo medico,formal,tratamiento
Siento una debilidad constante en las piernas al caminar.,Purispayqa sapa kutim chakiypi pisi kallpayachkan.,1,DOLOR_LOCALIZADO,dialogo medico,formal,tratamiento
Le voy a recetar un jarabe para calmar esa irritación de garganta.,Chay kunka nanayta thasnunaypaqmi jarabeta kamachisaq.,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,tratamiento
¿Se ha golpeado la rodilla o ha hecho un esfuerzo físico pesado?,¿Qonqoriykita k’irirqankichu icha ima llasa kallpatapas ruwarqanki?,0,GESTION_SALUD_GENERAL,dialogo medico,formal,tratamiento
"Por favor, recuéstese en la camilla para revisar su abdomen.","Ama hina kaspa, examen mesapi puñuy, chaynapi wiksaykita qawanaykupaq.",4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,tratamiento
¿Cuántas veces al día está yendo al baño con diarrea?,¿Hayka kutitataq sapa punchaw bañoman rin diarreawan?,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,tratamiento
Tengo una inflamación en la encía que me impide masticar bien.,"Encía nisqapi inflamación nisqayuqmi kani, chaymi mana allintachu masticayta atini.",5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,tratamiento
Es necesario que guarde reposo absoluto por lo menos tres días.,Kimsa p’unchawllapas tukuyninpi samarinayki tiyan.,1,DOLOR_LOCALIZADO,dialogo medico,formal,tratamiento
¿Ha tomado algún remedio casero antes de venir al hospital?,¿Manaraq hospitalman hamushaspa wasiykipi hampikunata hap’irqankichu?,5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,tratamiento
Me pican mucho los ojos y los tengo muy rojos desde la mañana.,"Ñawiymi anchata picakun, kunan paqarinmantapacham ancha pukayarun.",1,DOLOR_LOCALIZADO,dialogo medico,formal,tratamiento
"La herida está sanando bien, pero debemos cambiar las vendas.","K’iriqa allintan qhaliyashan, ichaqa vendakunata cambiananchismi.",5,INSTRUCCIONES_MEDICACION_DOSIS,dialogo medico,formal,tratamiento
¿Siente algún hormigueo o adormecimiento en los dedos de las manos?,¿Dedoykipi imapas chukchuytapas otaq llañuyaytachu sientenki?,1,DOLOR_LOCALIZADO,dialogo medico,formal,tratamiento
Vamos a programar una cirugía menor para retirar ese quiste.,Chay qusta hurqunapaqmi uchuy operacionta ruwasaqku.,4,RESPIRATORIO_CARDIACO_URGENCIA,dialogo medico,formal,tratamiento
¿A qué hora fue la última vez que tomó su medicina para la presión?,¿Ima horapitaq qhipa kutita yawar ñit’iy hampita tomarqanki?,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,tratamiento
"Doctor, me duele la espalda baja cuando intento agacharme.","Doctor, k’umuykukuyta munaspaymi wasanpa uraynin nanawan.",3,SINTOMAS_INFECCIOSOS_SISTEMICOS,dialogo medico,formal,tratamiento
Debe beber mucha agua para evitar la deshidratación por el calor.,Ruphaymanta mana yakumanta lluqsinanpaqqa achka yakuta upyanayki tiyan.,2,PROCEDIMIENTOS_DIAGNOSTICOS,dialogo medico,formal,tratamiento
