espanol,quechua_texto,tema_clean,tipo_habla_clean,nivel_formalidad,formal_bin,n_tokens_esp,len_esp,len_que
¿Sabes qué significa el término VIH?,Qamchu yachanki VIH iman nisqanta?,DIAGNOSTICO,dialogo_medico,informal,0,6,36,34
¿Sabes qué significa el término SIDA?,Qamchu yachanki SIDA iman nisqanta?,DIAGNOSTICO,dialogo_medico,informal,0,6,37,35
¿Estás infectado(a) con el virus VIH?,Qamchu kachkanki VIH viruswan?,DIAGNOSTICO,dialogo_medico,informal,0,6,37,30
¿Tienes SIDA?,Qamchu kachkanki SIDA nisqanwan?,DIAGNOSTICO,dialogo_medico,informal,0,2,13,32
Necesitas un análisis de sangre para el virus VIH.,Qampaqa yawarnikita analizananpaqmi chay VIH virus qawanampaq.,DIAGNOSTICO,dialogo_medico,informal,0,9,50,62
¿Te duele esta articulación que estoy tocando?,Qampachu nanachkan kay tulluyki tinkunampi qapiruykupi?,SINTOMAS,dialogo_medico,informal,0,7,46,55
¿Te duele alguna otra articulación?,Qampachu nanachkan huklla tulluyki tinkunampi?,SINTOMAS,dialogo_medico,informal,0,5,35,46
¿Qué articulación te duele más?,Mayqin tulluyki tinkunmi aswan nanachkan?,SINTOMAS,dialogo_medico,informal,0,5,31,41
¿Te duele este músculo que estoy tocando?,Nanachkanchu kay kallpaykipa aychan qapiruykupi?,SINTOMAS,dialogo_medico,informal,0,7,41,48
¿Te duele algún otro músculo?,Qampachu nanachkan huklla kallpaykipa aychan?,SINTOMAS,dialogo_medico,informal,0,5,29,45
¿Dónde está el dolor muscular?,Maypim kay kallpayki aychan nanachkan?,SINTOMAS,dialogo_medico,informal,0,5,30,38
¿Este músculo tiene calambre?,Kay kallpayki aychanchu kalambriyuk kachkan?,SINTOMAS,dialogo_medico,informal,0,4,29,44
¿Alguna vez has tenido algún hueso roto?,Imata kutillapas qampa tulluykikuna pakikurqachu?,SINTOMAS,dialogo_medico,informal,0,7,40,49
¿Qué huesos te has roto?,Ima tulluykikunata pakikurqanki?,SINTOMAS,dialogo_medico,informal,0,5,24,32
¿Duele cuando hago esto?,Nanachisunkichu kaynata ruwaptiy?,SINTOMAS,dialogo_medico,informal,0,4,24,33
Haz esto.,Ruwaykuy kaynata.,SINTOMAS,respuesta_breve,informal,0,2,9,17
Necesitas una radiografía de tu hueso.,Qampa tulluykita rayos X (equistam)wan qhawachiyta munanki.,DIAGNOSTICO,dialogo_medico,informal,0,6,38,59
Examinaré la radiografía y te diré lo que veo.,"Ñuqam qhawakusaq chay rayos X-ta, qhawasqayta nisqayki.",DIAGNOSTICO,dialogo_medico,informal,0,9,46,55
El hueso está roto aquí.,Tulluykim kaypi pakisqa kachkan.,DIAGNOSTICO,dialogo_medico,informal,0,5,24,32
El hueso no está roto aquí.,Tulluykim kaypi mana pakisqachu.,DIAGNOSTICO,dialogo_medico,informal,0,6,27,32
Necesitas un yeso para ayudar a que el hueso sane.,Tulluykita allinchananpaq yesuta churayta munanki.,TRATAMIENTO,dialogo_medico,informal,0,10,50,50
No te quites el yeso.,Ama chay yesuta kuyuchinkichu.,TRATAMIENTO,dialogo_medico,informal,0,5,21,30
No mojes el yeso.,Ama chay yesuta qochichinkichu.,TRATAMIENTO,dialogo_medico,informal,0,4,17,31
Necesitas una férula para ayudar a que la lesión sane.,Qanmi huk tablillata munanki hiridaykita yanapananpaq allinchakunampaq.,TRATAMIENTO,dialogo_medico,informal,0,10,54,71
Puedes quitarte la férula para limpiarte.,Qanmi urquykuyta atinki chay tablillata mayninaykipaq.,TRATAMIENTO,dialogo_medico,informal,0,6,41,54
La férula debe volver a colocarse después de que te limpies.,Chay tablillata kutichiyta tiyan mayninaykimanta qhipa.,TRATAMIENTO,dialogo_medico,informal,0,11,60,55
Necesitas una placa metálica y tornillos para ayudar a que tu hueso sane.,Qanmi huk metal placata tornillokunawan munanki tulluykita yanapananpaq allinchakunampaq.,TRATAMIENTO,dialogo_medico,informal,0,13,73,89
Necesitamos llevarte a la sala de operaciones para realizar una cirugía.,Ñuqayku qamta apasayku operacion cuartuman qallpachinanpaq.,TRATAMIENTO,dialogo_medico,informal,0,11,72,59
Su hijo(a) está enfermo(a).,Wawaykim unqusqa kachkan.,MATERNO_INFANTIL,dialogo_medico,informal,0,4,27,25
Su hijo(a) está lastimado(a).,Wawaykim hirisqam kachkan.,MATERNO_INFANTIL,dialogo_medico,informal,0,4,29,26
Necesitamos cuidar a su hijo(a).,Ñuqaykum qawanayku wawaykita.,MATERNO_INFANTIL,dialogo_medico,informal,0,5,32,29
Necesita permitirnos que su hijo(a) se quede por hoy.,Qanmi saqiyku wawaykita kaypi kay punchawlla ñuqaykuman.,MATERNO_INFANTIL,dialogo_medico,informal,0,9,53,56
Necesita permitirnos que su hijo(a) se quede aquí.,Qanmi saqiwankiku wawaykita kaypi ñuqaykuman.,MATERNO_INFANTIL,dialogo_medico,informal,0,8,50,45
Puede quedarse con su hijo(a).,Qanmi wawaykiwan kanki kaypi.,MATERNO_INFANTIL,dialogo_medico,informal,0,5,30,29
Permítanos examinar a su hijo(a) en privado.,Ñuqaykuman saqiy wawaykita allinta qawaykunaykupaq.,MATERNO_INFANTIL,dialogo_medico,informal,0,7,44,51
Su hijo(a) mejorará pronto.,Wawaykim utqaymanta allinchakunqa.,MATERNO_INFANTIL,dialogo_medico,informal,0,4,27,34
Este medicamento ayudará a su hijo(a).,Kay hampi wawaykita yanapanqa.,MATERNO_INFANTIL,dialogo_medico,informal,0,6,38,30
¿Su hijo(a) comió hoy?,Wawaykichu mikurqa kay punchawpi?,MATERNO_INFANTIL,dialogo_medico,informal,0,4,22,33
¿Su hijo(a) comió ayer?,Wawaykichu mikurqa qayna punchawpi?,MATERNO_INFANTIL,dialogo_medico,informal,0,4,23,35
¿Su hijo(a) ha orinado hoy?,Wawaykicha ispakurqa kay punchawpi?,MATERNO_INFANTIL,dialogo_medico,informal,0,5,27,35
¿Su hijo(a) ha hecho deposición hoy?,Wawaykicha wiksanmanta evakuarqa kay punchawpi?,MATERNO_INFANTIL,dialogo_medico,informal,0,6,36,47
¿Su hijo(a) hizo deposición ayer?,Wawaykicha wiksanmanta evakuarqa qayna punchawpi?,MATERNO_INFANTIL,dialogo_medico,informal,0,5,33,49
¿Su hijo(a) ha tenido diarrea?,Wawaykichu qechawan karqa?,MATERNO_INFANTIL,dialogo_medico,informal,0,5,30,26
¿Su hijo(a) ha estado vomitando?,Wawaykichu weqowan karqa?,MATERNO_INFANTIL,dialogo_medico,informal,0,5,32,25
Su hijo(a) parece saludable.,Wawaykim allin rikurinqa kachkan.,MATERNO_INFANTIL,dialogo_medico,informal,0,4,28,33
Su hijo(a) estará bien.,Wawaykim allin kachkanqa.,MATERNO_INFANTIL,dialogo_medico,informal,0,4,23,25
Su hijo(a) estará enfermo(a) por mucho tiempo.,Wawaykika unqusqa kanqa llumpayman.,MATERNO_INFANTIL,dialogo_medico,informal,0,7,46,35
"Esta enfermedad pasará lentamente, pero la salud de su hijo(a) volverá completamente.","Kay unqunaq allillamanta ripunqa, qinaptinqa wawaykipa qallilinqa kutimunqam tukupayninkama.",MATERNO_INFANTIL,dialogo_medico,informal,0,12,85,92
Déle al niño(a) pequeñas porciones cada pocas horas.,Wawaykita pisillapi mikuchiy aswan kutillapi.,MATERNO_INFANTIL,dialogo_medico,informal,0,8,52,45
Ayude a su hijo(a) a beber esto cada pocas horas.,Wawaykita yanapay pisi upyananpaq aswan kutillapi.,MATERNO_INFANTIL,dialogo_medico,informal,0,10,49,50
Déle este medicamento a su hijo(a) cada cuatro horas.,Wawaykiman ququy kay qampita sapa tawa huranmanta.,MATERNO_INFANTIL,dialogo_medico,informal,0,9,53,50
Deje que su hijo(a) duerma.,Wawaykita saqiy puñukunanta.,MATERNO_INFANTIL,dialogo_medico,informal,0,5,27,28
Usted necesita dormir tanto como el niño(a).,Qanmi puñuwaq chay wawayki qinakama.,MATERNO_INFANTIL,dialogo_medico,informal,0,7,44,36
Traiga a su hijo(a) de regreso aquí mañana.,Qanmi kutichimunki paqarin wawaykita kayman.,SEGUIMIENTO,dialogo_medico,informal,0,8,43,44
Traiga a su hijo(a) de regreso si no hay mejoría hasta mañana.,Qanmi kutichimunki paqarin wawaykita sichus mana allinllaniptin.,SEGUIMIENTO,dialogo_medico,informal,0,12,62,64
Continuaremos haciendo seguimiento a la salud de su hijo(a) junto con usted.,Ñuqanchikmi qatisunchik qanwanpuni wawaykipa allinllanantam.,SEGUIMIENTO,dialogo_medico,informal,0,12,76,60
Abre los ojos.,Kichay ñawikikunata,SINTOMAS,respuesta_breve,informal,0,3,14,19
Cierra los ojos.,Wichqay ñawikikunata.,SINTOMAS,respuesta_breve,informal,0,3,16,21
¿Te duelen los ojos?,ñawikichum nanachkan?,SINTOMAS,dialogo_medico,informal,0,4,20,21
¿Usas lentes correctivos?,Qamchukanki anteojusman qawakuy?,SINTOMAS,dialogo_medico,informal,0,3,25,32
¿Usas lentes de contacto?,Qamchu kanki contact lente wan qawakuy?,SINTOMAS,dialogo_medico,informal,0,4,25,39
¿Ves claramente con ambos ojos?,Sumaqtachum qawakunki iskaynin ñawiykikunawan?,SINTOMAS,dialogo_medico,informal,0,5,31,46
¿Cuál ojo tiene un nuevo problema?,Mayqin ñawikitaq qallaykun problemwan?,SINTOMAS,dialogo_medico,informal,0,6,34,38
¿Ves mis dedos?,Qawachkankichu lliw deduykunata?,SINTOMAS,dialogo_medico,informal,0,3,15,32
¿Se ven claros?,Allintachu rikukun?,SINTOMAS,dialogo_medico,informal,0,3,15,19
¿Cuántos dedos ves ahora?,Qayka dedukunatam qawachkanki kunanqa?,SINTOMAS,dialogo_medico,informal,0,4,25,38
Voy a mirar dentro de tus ojos con esto.,Ñuqam qawasq kaywan ñawikikupa ukunta.,SINTOMAS,dialogo_medico,informal,0,9,40,38
Mantén tu cabeza quieta.,Umaykita amam muyunachu.,SINTOMAS,dialogo_medico,informal,0,4,24,24
¿Para que viniste señora?,¿Imamanmy hamushanqui sipas?,SINTOMAS,dialogo_medico,informal,0,4,25,28
yo vine porque me duele la cabeza,Noqa Hamushani umay nanawaqtin,SINTOMAS,respuesta_breve,informal,0,7,33,30
¿Imayki nanasunki taytay?,Que te duele señor,SINTOMAS,dialogo_medico,informal,0,3,25,18
A mi me duele la pierna,Noqata nanawan chakay,SINTOMAS,respuesta_breve,informal,0,6,23,21
Dede cuando estas enfermo,¿Hayk'akmanta pachaq onq'oska kashanki?,SINTOMAS,dialogo_medico,informal,0,4,25,39
Yo estoy mal hace dos dias,Noqa kashani onq'oska iskay punchayña,SINTOMAS,respuesta_breve,informal,0,6,26,37
¿que le duela a tu hijo?,¿Imanmy nanashan wawayki?,MATERNO_INFANTIL,dialogo_medico,informal,0,6,24,25
A mi hijo le duele su barriga,Wawaypa nanashan wiksan,MATERNO_INFANTIL,respuesta_breve,informal,0,7,29,23
¿De que empezo tu enfermedad?,¿Imamanta kallarin onq'oynin?,SINTOMAS,dialogo_medico,informal,0,5,29,29
"¿como te duele poco, mucho, leve?","¿Imaynatan nanashan pisitachu, ashkatachu, nishutachu?",SINTOMAS,dialogo_medico,informal,0,6,33,54
¿Que cosa aumenta tu dolor?,¿Iman yapasunki nanayta?,SINTOMAS,dialogo_medico,informal,0,5,27,24
¿Te duele la cabeza?,¿Umayki nanan?,SINTOMAS,dialogo_medico,informal,0,4,20,14
¿Orinas bien en la mañana?,¿Hispashankichu allinta tutamanta?,SINTOMAS,dialogo_medico,informal,0,5,26,34
¿Duermes bien?,¿Allytachu puñunky?,SINTOMAS,dialogo_medico,informal,0,2,14,19
¿cuando toces te duele la espalda?,¿uhuqtiyki nananchu wasayki?,SINTOMAS,dialogo_medico,informal,0,6,34,28
¿cuando caminas tu pecho te agita?,¿purijtiyki kasqoyki matisunkichu?,SINTOMAS,dialogo_medico,informal,0,6,34,34
¿te marea la cabeza?,¿umaykichu muyun?,SINTOMAS,dialogo_medico,informal,0,4,20,17
no pongas duro el estomago,wicsaykita ama kuyuchiychu,SINTOMAS,dialogo_medico,informal,0,5,26,26
me duele la boca cuando abro,simiymi nanan kichaqtiy,SINTOMAS,respuesta_breve,informal,0,6,28,23
¿tienes apetito?,¿yarkay hapisunkichu?,SINTOMAS,dialogo_medico,informal,0,2,16,21
¿tienes asco a la comida?,¿millankunkichu mikhunata?,SINTOMAS,dialogo_medico,informal,0,5,25,26
"¿No quieres comer, desde cuando?",¿mana mikhuita munanqichu hayk'acmanta?,SINTOMAS,dialogo_medico,informal,0,5,32,39
¿cuando orinas te arde?,¿Hispaqtiyki K'arasunkichu?,SINTOMAS,dialogo_medico,informal,0,4,23,27
¿tu orina apesta o es amarillo?,¿Hispayniki asnachu o kelluchu?,SINTOMAS,dialogo_medico,informal,0,6,31,31
¿en tu orina has visto sangre?,¿Hispaynikipi yawarta rikurankichu?,SINTOMAS,dialogo_medico,informal,0,6,30,35
¿le viene sangre todos los meses?,¿yawarniki hamun supa killachu?,SINTOMAS,dialogo_medico,informal,0,6,33,31
"¿le baja poca o mucha, de dia o de noche?",¿hamun pisichu o askachu tutachu o punchaychu?,SINTOMAS,dialogo_medico,informal,0,10,41,46
¿desde cuando arrastra su pierna?,¿Hayk'akmanta chaquiykita aysanki?,SINTOMAS,dialogo_medico,informal,0,5,33,34
dele de mamar a su hijo cada tres horas,wawayquita ñuñunky sapa kinsa hora,MATERNO_INFANTIL,dialogo_medico,informal,0,9,39,34
ahora que tiene diarrea dele muchos liquidos,kunan kechawan kashan ashkata unuta qonayki,TRATAMIENTO,dialogo_medico,informal,0,7,44,43
mañana vienes en ayunas,pakarin hamunki ama mikhuspa,SEGUIMIENTO,dialogo_medico,informal,0,4,23,28
trae tu orina en este frasco,kay frascopi hispasnikita apamunki,DIAGNOSTICO,dialogo_medico,informal,0,6,28,34
Trae tus heces,Akaykita apamunki,DIAGNOSTICO,dialogo_medico,informal,0,3,14,17
te vamos a sacar sangre,yawarta orqosunki,DIAGNOSTICO,dialogo_medico,informal,0,5,23,17
Tienes que traer a dos personas que te den sangre,Apamunayki iskay runata yawar qunasunquipa,DIAGNOSTICO,dialogo_medico,informal,0,10,49,42
¿como esta tu pie?,¿Imaynan kashan chakayki?,SINTOMAS,dialogo_medico,informal,0,4,18,25
¿como esta tu herida?,¿imaynan kashan kiriyki?,SINTOMAS,dialogo_medico,informal,0,4,21,24
No te agarres tu herida,Ama japiqunkichu kiriykita,TRATAMIENTO,dialogo_medico,informal,0,5,23,26
toma este medicamento dos veces al dia,kay hampita millpunki iskallata punchaypi,TRATAMIENTO,dialogo_medico,informal,0,7,38,41
toma este medicamento a las nueve de la noche,kay hampita millpunki pusaq horatutata,TRATAMIENTO,dialogo_medico,informal,0,9,45,38
toma este medicamento con bastante agua,kay hampita millpunki ashka unupi,TRATAMIENTO,dialogo_medico,informal,0,6,39,33
toma este medicamento despues de cada comida,kay hampita millpunki sapa mikhuna qepata,TRATAMIENTO,dialogo_medico,informal,0,7,44,41
come tu comida a tu hora,mikhunata mikhunki horasnikipi,PREVENCION,dialogo_medico,informal,0,6,24,30
Dame tu mano izquierda,lloq'e makiykita apamuy,SINTOMAS,dialogo_medico,informal,0,4,22,23
no te emborraches mucho,ama nishuta machankichu,PREVENCION,dialogo_medico,informal,0,4,23,23
no te hagas pasar frio,ama nishuta chirichikunqichu,PREVENCION,dialogo_medico,informal,0,5,22,28
Avisa si te duele algo,willaykunki imayqipas nanaq,SINTOMAS,dialogo_medico,informal,0,5,22,27
toma todo tu medicamento,tuqunayki llipin hampikita,TRATAMIENTO,dialogo_medico,informal,0,4,24,26
tu pierna esta rota,chakayqi pakisqa kashan,DIAGNOSTICO,dialogo_medico,informal,0,4,19,23
Tu pierna tenemos que amputar,Chakayqita kuchusunkiku,TRATAMIENTO,dialogo_medico,informal,0,5,29,23
Paciente presenta fiebre alta y dolor muscular.,"Unqusqaqa sinchi fiebrewan, aycha nanaywan ima riqsichikun",SINTOMAS,nota_clinica,formal,1,7,47,58
Refiere dolor abdominal persistente y náuseas frecuentes.,Payqa willakun wiksa nanasqanmanta sapa kuti nausea kasqanmantawan,SINTOMAS,nota_clinica,formal,1,7,57,66
Presenta tos seca persistente desde hace días.,Payqa achka punchawñam mana saqispa ch'aki tosniyuq,SINTOMAS,nota_clinica,formal,1,7,46,51
Paciente manifiesta fatiga constante y mareos leves.,"Unqusqa willakun sapa kuti sayk'usqa kasqanmanta, llamp'u uma muyusqanmanta ima",SINTOMAS,nota_clinica,formal,1,7,52,79
Dolor en el pecho al respirar profundamente.,Sinchita samaspa sinqa nanay,SINTOMAS,nota_clinica,formal,1,7,44,28
Inflamación visible y dolor en articulación.,Rikuna inflamación y articulaciones nanay,SINTOMAS,nota_clinica,formal,1,6,44,41
Diarrea y vómitos desde la noche anterior.,"Ñawpaq tutamantapacha diarrea, vomito ima",SINTOMAS,nota_clinica,formal,1,7,42,41
Dolor lumbar después de esfuerzo físico intenso,Sinchi kallpawan wasanpi nanay,SINTOMAS,nota_clinica,formal,1,7,47,30
Exámenes de laboratorio confirmaron infección bacteriana leve.,Laboratorio pruebakunapiqa llamp'u infección bacteriana kaqta chiqancharqanku,DIAGNOSTICO,nota_clinica,formal,1,7,62,77
Análisis clínico detectó anemia moderada en paciente.,Análisis clínico kaqpiqa kay unqusqapi anemia moderada kaqta tarirqa.,DIAGNOSTICO,nota_clinica,formal,1,7,53,69
Se confirmó diabetes tras examen de glucosa.,Diabetes onqoyqa glucosa nisqamanta prueba ruwasqanku qhepamanmi cheqaqchasqa karqan.,DIAGNOSTICO,nota_clinica,formal,1,7,44,85
Radiografía evidenció fractura leve en antebrazo.,Radiografía nisqapiqa ñawpaq makipi pisilla p'akisqa kasqanmi rikukurqan.,DIAGNOSTICO,nota_clinica,formal,1,6,49,73
Resultado positivo para infección urinaria leve.,Resultado positivo kay llamp'u infección urinaria kaqpaq,DIAGNOSTICO,nota_clinica,formal,1,6,48,56
Ecografía confirmó presencia de cálculos biliares.,Ultrasonido nisqawanmi chiqapchakurqa rumi biliar nisqakuna kasqanmanta,DIAGNOSTICO,nota_clinica,formal,1,6,50,71
Exámenes confirmaron deshidratación leve en paciente,Pruebakuna chiqancharqanku llamp'u deshidratación kaqta unqusqapi,DIAGNOSTICO,nota_clinica,formal,1,6,52,65
Se indicó reposo absoluto durante cinco días,Pichqa punchawpaqmi absoluta samayta kamachirqaku,TRATAMIENTO,nota_clinica,formal,1,7,44,49
Se recomendó dieta rica en hierro,Hierroyuq mikhuyta yuyaycharqanku.,TRATAMIENTO,nota_clinica,formal,1,6,33,34
Inició fisioterapia para recuperar movilidad articular.,"Payqa fisioterapia nisqawanmi hampichikuyta qallarirqan, chhaynapi articulacionkunata wakmanta purinanpaq.",TRATAMIENTO,nota_clinica,formal,1,6,55,106
Se indicó hidratación constante y reposo domiciliario.,Sapa kuti hidratacionta hinaspa wasipi samaytapas allinmi karqa.,TRATAMIENTO,nota_clinica,formal,1,7,54,64
Dieta blanda recomendada por tres días,Kimsa punchawpaq llampu mikuy yuyaychasqa,TRATAMIENTO,nota_clinica,formal,1,6,38,41
Inmovilización temporal del brazo afectado.,Inmovilización temporal de la brazo afectado nisqa.,TRATAMIENTO,nota_clinica,formal,1,5,43,51
Reposo domiciliario y líquidos abundantes recomendados.,Wasipi samay hinaspa achka yakukuna recomendasqa,TRATAMIENTO,nota_clinica,formal,1,6,55,48
Tomar paracetamol cada ocho horas por fiebre.,Paracetamol hampita sapa pusaq horamanta upyana fiebrepaq.,TRATAMIENTO,nota_clinica,formal,1,7,45,58
Antibiótico indicado por siete días consecutivos.,Antibiótico nisqa qanchis p'unchaw qatiqninpi rikuchisqa.,TRATAMIENTO,nota_clinica,formal,1,6,49,57
Aplicar crema antiinflamatoria dos veces al día.,P'unchawpi iskay kutita crema antiinflamatoria nisqawan churana.,TRATAMIENTO,nota_clinica,formal,1,7,48,64
Jarabe prescrito para aliviar tos nocturna.,Tuta tos allinyachinapaq kamachisqa jarabe,TRATAMIENTO,nota_clinica,formal,1,6,43,42
Tomar suplemento de hierro en ayunas.,Ch'usaq wiksallapi hierromanta hampita upyana.,TRATAMIENTO,nota_clinica,formal,1,6,37,46
Uso de inhalador según indicación médica.,Doctorpa kamachisqanman hina inhalador nisqawan yanapachikuy,TRATAMIENTO,nota_clinica,formal,1,6,41,60
Antiinflamatorio indicado cada doce horas.,Antiinflamatorio nisqa sapa chunka iskayniyuq horamanta rikuchisqa,TRATAMIENTO,nota_clinica,formal,1,5,42,66
Lavarse las manos antes de cada comida.,Sapa mikhunata manaraq mikhuchkaspa makiykita mayllakuna.,PREVENCION,dialogo_medico,informal,0,7,39,57
Consumir agua hervida evita infecciones gastrointestinales,T'impusqa yakuta upyayqa hark'anmi infecciones gastrointestinales nisqakunata,PREVENCION,dialogo_medico,informal,0,6,58,77
Evitar cambios bruscos de temperatura corporal.,Ama qunqayllamanta cuerpopa temperaturan cambianachu,PREVENCION,dialogo_medico,informal,0,6,47,52
Mantener alimentación balanceada fortalece defensas naturales.,Allin mikhunata hap'iyqa natural defensakunatan kallpachan,PREVENCION,dialogo_medico,informal,0,6,62,58
Uso de mascarilla en casos gripales.,Gripe onqoyniyoq kaqtinqa uya mascarakunata utilizay.,PREVENCION,dialogo_medico,informal,0,6,36,53
Evitar exposición prolongada a bajas temperaturas.,Ama unayta pisi q'uñipi churaychu,PREVENCION,dialogo_medico,informal,0,6,50,33
Realizar actividad física mejora salud cardiovascular.,Aycha kallpaypi llamk'ayqa sunqumanta qhali kayta allinchan,PREVENCION,dialogo_medico,informal,0,6,54,59
Recibió vacuna contra influenza sin complicaciones.,Payqa mana sasachakuyniyuq gripe vacunata chaskirqa,PREVENCION,nota_clinica,formal,1,6,51,51
Se aplicó primera dosis del esquema regular.,Kay ñawpaq dosis kay horario regular kaqmanta qusqa karqa,PREVENCION,nota_clinica,formal,1,7,44,57
Recibió refuerzo contra neumonía este mes.,Payka kay killapimi neumonía unquymanta vacuna de refuerzota chaskirqa,PREVENCION,nota_clinica,formal,1,6,42,70
Niño completó esquema obligatorio de vacunación.,Wawa hunt'asqa obligatorio vacunación horario,PREVENCION,nota_clinica,formal,1,6,48,45
Vacuna administrada según calendario nacional vigente,Vacuna qusqa kunan horario nacional nisqaman hina,PREVENCION,nota_clinica,formal,1,6,53,49
Adulto mayor recibió dosis de refuerzo.,Machu runaqa dosis de refuerzo nisqatam chaskirqa,PREVENCION,nota_clinica,formal,1,6,39,49
Se aplicó vacuna contra el VPH.,Kay VPH vacuna kaqta churakurqa.,PREVENCION,nota_clinica,formal,1,6,31,32
Debe regresar a control médico en dos semanas.,Iskay semanamantam kutinayki hampichikunaykipaq,SEGUIMIENTO,dialogo_medico,informal,0,8,46,47
Paciente deberá asistir a evaluación mensual.,Unqusqa sapa killa evaluacionman rinan tiyan,SEGUIMIENTO,nota_clinica,formal,1,6,45,44
Controlar presión arterial diariamente en casa.,Sapa punchaw wasiykipi yawarpa ñitiyninta qaway.,SEGUIMIENTO,dialogo_medico,informal,0,6,47,48
Cita médica programada para revisión general.,Cita médico programasqa general revisión nisqapaq,SEGUIMIENTO,nota_clinica,formal,1,6,45,49
Evaluación médica posterior al tratamiento antibiótico.,Antibiótico hampiywan hampichikuy chaninchay,SEGUIMIENTO,nota_clinica,formal,1,6,55,44
Control prenatal programado cada cuatro semanas.,Sapa tawa semanamanta prenatal revisakuna programasqa,MATERNO_INFANTIL,nota_clinica,formal,1,6,48,53
Paciente continúa controles periódicos por hipertensión,Unqusqa sapa kuti qhawaykunata ruwan hipertensión kaqpaq,SEGUIMIENTO,nota_clinica,formal,1,6,55,56
Me duele la cabeza,Umaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,18,14
Me duele el estómago,Wiksaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,20,16
Me duele la garganta,Kunkaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,20,16
Me duele el pecho,Qasquymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,17,16
Me duele la espalda,Wasaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,19,15
Me duele la rodilla,Muquymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,19,15
Me duele el oído,Linliymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,16,16
Me duele el cuerpo entero,Entero cuerpuymi nanawan,SINTOMAS,respuesta_breve,informal,0,5,25,24
Hasta cuando descanso me duele,Hasta samariptiypas nanawanmi,SINTOMAS,respuesta_breve,informal,0,5,30,29
Me duele mucho aquí,Llumpaytam nanawan,SINTOMAS,respuesta_breve,informal,0,4,19,18
Me duele la garganta,Mallq'a nanawan,SINTOMAS,respuesta_breve,informal,0,4,20,15
Me duele el pecho,Qhasquymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,17,17
Me duele la espalda,Wasaymi nanan,SINTOMAS,respuesta_breve,informal,0,4,19,13
Me duele la rodilla,Qonqoriyqa nanawan,SINTOMAS,respuesta_breve,informal,0,4,19,18
Me duele el oído,Rinriymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,16,16
Me duele todo el cuerpo,Tukuy ukhuy nanawan,SINTOMAS,respuesta_breve,informal,0,5,23,19
Me duele cuando descanso,Samaspayqa nanawan,SINTOMAS,respuesta_breve,informal,0,4,24,18
Me duele mucho aquí,Kaypin sinchita nanawan,SINTOMAS,respuesta_breve,informal,0,4,19,23
Tengo fiebre,Ruphaywanmi kashani,SINTOMAS,respuesta_breve,informal,0,2,12,19
Tengo mareos,Uma muyuwashian,SINTOMAS,respuesta_breve,informal,0,2,12,15
No tengo hambre,Mana yarqawachkanchu,SINTOMAS,respuesta_breve,informal,0,3,15,20
Estoy muy cansado,Sinchi sayk'usqa kashani,SINTOMAS,respuesta_breve,informal,0,3,17,24
No puedo dormir,Mana puñuy atinichu,SINTOMAS,respuesta_breve,informal,0,3,15,19
Tengo náuseas,Aqtupakuyman kashani,SINTOMAS,respuesta_breve,informal,0,2,13,20
Estoy vomitando,Aqtushani,SINTOMAS,respuesta_breve,informal,0,2,15,9
Me duele el brazo,Rikraymi nanawan kachkan,SINTOMAS,respuesta_breve,informal,0,4,17,24
Me duele la pierna,Chakinmi nanawan,SINTOMAS,respuesta_breve,informal,0,4,18,16
Me duele la cintura,Chumpimi nanawan kachkan,SINTOMAS,respuesta_breve,informal,0,4,19,24
Me duele el cuello,Kunkaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,18,16
Me duelen los huesos,Tulluykunaymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,20,21
Me duele al orinar,Ispachiykaqtiymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,18,24
Me duele la muela,Kiruymi nanawan kachkan,SINTOMAS,respuesta_breve,informal,0,4,17,23
Me duele la vista,Ñawiymi nanawan,SINTOMAS,respuesta_breve,informal,0,4,17,15
No puedo caminar,Manam puriytaqa atinichu,SINTOMAS,respuesta_breve,informal,0,3,16,24
No puedo moverme,Manam kuyuytallaqa atinichu,SINTOMAS,respuesta_breve,informal,0,3,16,27
Tengo fiebre,Ruphaywan kachkani,SINTOMAS,respuesta_breve,informal,0,2,12,18
Tengo frío,Chiriywan kachkani,SINTOMAS,respuesta_breve,informal,0,2,10,18
Tengo calor,Quniywan kachkani,SINTOMAS,respuesta_breve,informal,0,2,11,17
Estoy mareado,Umayqa muyurichkan,SINTOMAS,respuesta_breve,informal,0,2,13,18
No tengo hambre,Manam yarqasqachu kachkani,SINTOMAS,respuesta_breve,informal,0,3,15,26
Estoy muy cansado,Sinchita saqisqa kachkani,SINTOMAS,respuesta_breve,informal,0,3,17,25
No puedo dormir,Manam puñuytaqa atinichu,SINTOMAS,respuesta_breve,informal,0,3,15,24
